,gene_name,centrality,rank
10035,JMJD6,1.0,1
3187,SLC5A3,0.995184414914152,2
10216,ZNF596,0.9935621961088087,3
7587,CIRBP,0.990143755555644,4
1637,RP11.386M24.3,0.9888978981097579,5
10893,TARBP1,0.97992400655243,6
864,RBM3,0.9783860911210256,7
9704,AHSA1,0.9707515469947896,8
2404,RP11.958J22.1,0.9705932057856361,9
9900,PCYOX1L,0.9674316543682587,10
1290,RP11.196E1.3,0.964576195837032,11
952,RP11.553A10.1,0.9645330787846346,12
2121,RP11.386M24.6,0.9610218533889138,13
4467,PLK4,0.9589723935899234,14
9661,MYO5C,0.9589078978216982,15
607,MUC5B,0.955242993777913,16
2954,C17orf102,0.9521170639035698,17
10055,KIAA1524,0.9514220037413694,18
4183,RP11.76N22.2,0.9513607765686737,19
2402,TNFRSF10D,0.9468111881907789,20
4296,USP2.AS1,0.9466321928672129,21
6901,RP11.446H18.1,0.9450965890034331,22
8449,DPH6,0.9440682285592119,23
7503,LYRM9,0.9424049839386162,24
8112,HSPH1,0.9419560364410444,25
1357,LINC01006,0.9410613870927376,26
7691,DYNLL2,0.9404142158404176,27
7689,F5,0.9384913866620548,28
6111,GPD1,0.9375029675409446,29
2000,AC006547.14,0.9347899068593718,30
8504,ZFR2,0.9343905678224185,31
10885,RFC3,0.9343059508905058,32
6202,NOXA1,0.9320207567492185,33
2359,ST6GALNAC1,0.9313812374756117,34
1298,PSG3,0.9312560792087843,35
3035,PEX11G,0.9307031255630376,36
1619,C9orf106,0.9299430392939088,37
1320,SNX31,0.9293033925769729,38
5707,SPR,0.9287059804151163,39
8970,ZNF710,0.9273927917486474,40
7550,PPP1R1C,0.9268279756625497,41
6369,RP1.95L4.4,0.9257472515438551,42
10016,RSPH1,0.9246767913523356,43
8691,LDB3,0.9224739867315167,44
6245,SLCO2A1,0.9223551246132076,45
491,LINC00930,0.9221979793962342,46
8614,C19orf48,0.9215990231670219,47
5485,RP11.509J21.1,0.9212662426352156,48
7256,RCC1,0.9212474690318092,49
1848,WI2.81516E3.1,0.9210824893663074,50
6034,MUM1L1,0.9202530851367658,51
8458,MYCBPAP,0.920100134707469,52
6739,ENOSF1,0.9198873279421917,53
8577,FAM167A,0.919805558532719,54
10015,SERPINB8,0.9197801295136502,55
9111,RP1.212P9.2,0.9185885273839048,56
5632,TBC1D10C,0.9183782349729025,57
4155,RP11.689P11.2,0.9179496653793706,58
4000,LINC00238,0.9177556033467568,59
9983,RP11.85M11.2,0.916798450783289,60
6782,TPPP3,0.9156671414863984,61
6891,PVRL3.AS1,0.9154836135919904,62
8814,RAB34,0.9153964410766287,63
1836,RP5.1063M23.1,0.9153463468355004,64
8285,MRPS6,0.9143275868792784,65
6544,CHORDC1,0.9135424446781866,66
8716,PROX2,0.9132528756204996,67
9990,CPNE6,0.9123303550949391,68
