,gene_name,centrality,rank
7587,CIRBP,1.0,1
10035,JMJD6,0.9847745049358393,2
3187,SLC5A3,0.9820238263367776,3
9704,AHSA1,0.9635768748965243,4
6544,CHORDC1,0.9557404593829577,5
7503,LYRM9,0.9465476488888053,6
6034,MUM1L1,0.9453267385760229,7
5707,SPR,0.9439170302216167,8
10893,TARBP1,0.9430736714003143,9
7691,DYNLL2,0.9409903420583868,10
8970,ZNF710,0.9396124042122371,11
8614,C19orf48,0.9370176182545265,12
864,RBM3,0.933466437233929,13
9900,PCYOX1L,0.9323126701820496,14
8112,HSPH1,0.9314850852719798,15
9661,MYO5C,0.9289064551955835,16
2770,RP11.244H3.1,0.9287926414801405,17
7147,SIRT4,0.9287367358553682,18
6782,TPPP3,0.928660729223632,19
1637,RP11.386M24.3,0.9261688000635449,20
5531,RP11.617F23.1,0.924798899261244,21
8353,HMGB3,0.9221879041417326,22
607,MUC5B,0.9219188847572821,23
952,RP11.553A10.1,0.9158346589806546,24
2000,AC006547.14,0.9139526868504638,25
9521,HSP90AA1,0.9135844186070913,26
1234,DKFZP667F0711,0.9127716141807295,27
11064,RASL10B,0.9117438074280375,28
10216,ZNF596,0.9094545285200042,29
9990,CPNE6,0.9065486326086094,30
6739,ENOSF1,0.9040808224082345,31
9456,CTD.2313N18.5,0.904054753787082,32
5632,TBC1D10C,0.9038587428027242,33
9382,SEPP1,0.9033320497086007,34
2677,AC005943.5,0.9032175145194898,35
3740,HSD17B8,0.9026811508904377,36
7256,RCC1,0.9017294233303325,37
2366,ENTPD2,0.9017046063854542,38
9997,NUDT18,0.8993693533285899,39
8691,LDB3,0.8992748167621609,40
1247,ADORA2A.AS1,0.89840894648096,41
6901,RP11.446H18.1,0.8957067553048507,42
3363,PPDPF,0.8955023037663087,43
4783,SLC38A2,0.8941403917786331,44
4634,CYP4F11,0.8933789864607162,45
7872,MYL5,0.8928890328087866,46
904,HSPA1A,0.8927361910860271,47
2121,RP11.386M24.6,0.8920088950829833,48
6373,TIFA,0.8905777260098081,49
5485,RP11.509J21.1,0.8891289927866752,50
6369,RP1.95L4.4,0.8889372541662449,51
6280,OPALIN,0.8888454787415264,52
7667,ERBB2,0.8882693503251908,53
1619,C9orf106,0.888042428212359,54
430,AL031663.2,0.8874530025758968,55
8379,DNAJB4,0.8874331742852751,56
6450,KLHL17,0.8865515274302893,57
6718,ABCB6,0.8850911437240321,58
4467,PLK4,0.8842978788004194,59
3976,PLA2G4B,0.8839161401398181,60
5435,WDR88,0.8836359972542392,61
10838,COL6A6,0.882788054615437,62
7792,HYAL3,0.8822704268262084,63
8577,FAM167A,0.8817997587987901,64
8864,HMGN2,0.8812120846636144,65
2404,RP11.958J22.1,0.8777571832411625,66
6567,LAMC3,0.8777427843335183,67
6793,AC092594.1,0.8775674621593407,68
6998,CARNS1,0.8772989395116707,69
6706,P4HA1,0.8769805492221259,70
5731,AC110619.2,0.8762481311196683,71
6025,CCNA2,0.8747271842305028,72
491,LINC00930,0.8733839874895488,73
6605,C6orf3,0.8731263418161009,74
10652,FADS2,0.8728144836470046,75
1525,RP11.407B7.1,0.8727442041819407,76
5391,RP11.37E23.5,0.872693829057583,77
276,RPE65,0.8726465861771857,78
8288,SPDYE3,0.871611115466304,79
8090,ADHFE1,0.8715982223747377,80
10885,RFC3,0.8705959733020747,81
6111,GPD1,0.8697820189212205,82
6423,AC093390.1,0.8695691268470797,83
9731,FOXO4,0.869529621578229,84
10023,RNF165,0.8694597416400209,85
8504,ZFR2,0.8693088034742943,86
8285,MRPS6,0.8689711332577735,87
10010,BAG2,0.8679015983883172,88
5776,NA.92,0.8678319414231429,89
1836,RP5.1063M23.1,0.8677072624134133,90
1666,HTR3E,0.8676496012692632,91
7959,ACTG1P1,0.8672693599243332,92
1290,RP11.196E1.3,0.8671917176249759,93
8319,FGFR3,0.8666392551660986,94
6843,GOLGA7B.1,0.8658029397942524,95
1357,LINC01006,0.8656429894840787,96
10116,ATRNL1,0.8646321914298459,97
2972,KREMEN2,0.8645185375034382,98
3378,RP11.182I10.3,0.864315206799888,99
8449,DPH6,0.8641179178794153,100
10120,STIP1,0.8635198163080177,101
374,AC073133.1,0.8635100042344402,102
5506,CCDC151,0.8629553594688681,103
10112,THAP2,0.8628424779986718,104
10459,CADPS2,0.8627528553848365,105
6766,DNASE1L2,0.8622256165555439,106
4211,KCNJ5,0.8620738288026892,107
6202,NOXA1,0.8619880989856717,108
10541,GLRX,0.8618514555012342,109
8105,MROH7,0.861556010450911,110
9922,FKBP4,0.8613605775525321,111
6289,COL27A1,0.8612158464529348,112
2102,LINC00484,0.8611743505804129,113
