,gene_name,centrality,rank
3187,SLC5A3,1.0,1
7587,CIRBP,0.9979440961447352,2
1290,RP11.196E1.3,0.9766189835845597,3
10035,JMJD6,0.9725598518849118,4
9900,PCYOX1L,0.9684408945627307,5
864,RBM3,0.9672898600162442,6
9704,AHSA1,0.9661580550820253,7
10893,TARBP1,0.9618516948175245,8
607,MUC5B,0.948788171925322,9
954,PSG8,0.9347001181110378,10
2770,RP11.244H3.1,0.9331937684305498,11
7256,RCC1,0.933004665868156,12
9521,HSP90AA1,0.9272491748460816,13
6202,NOXA1,0.9257497865203482,14
5707,SPR,0.9254596934236078,15
9922,FKBP4,0.9249573671234118,16
841,RP11.14I17.1,0.9248920582466014,17
9661,MYO5C,0.924402825541148,18
10120,STIP1,0.9237444077168132,19
8614,C19orf48,0.9218305676981833,20
2000,AC006547.14,0.9211863430876353,21
7503,LYRM9,0.9187928622677229,22
6369,RP1.95L4.4,0.9182384522076479,23
4467,PLK4,0.9173130037457038,24
6034,MUM1L1,0.9161808091112964,25
2954,C17orf102,0.9131238424679903,26
2425,AC019048.1,0.9130620324929399,27
4783,SLC38A2,0.9128271128097867,28
8112,HSPH1,0.9123589739800497,29
6544,CHORDC1,0.9109893374670917,30
1637,RP11.386M24.3,0.9108582581052169,31
374,AC073133.1,0.9096592427913132,32
8285,MRPS6,0.9079557325249483,33
10216,ZNF596,0.9074989644292468,34
10223,MAP10,0.9053579950172399,35
8970,ZNF710,0.9044606386116266,36
6450,KLHL17,0.9034119120523146,37
5632,TBC1D10C,0.9019393677475094,38
8691,LDB3,0.900443651573271,39
8731,SEC14L1P1,0.9000012050483188,40
6280,OPALIN,0.8987098683206892,41
2121,RP11.386M24.6,0.8977453864553453,42
10055,KIAA1524,0.8952871822184099,43
2311,FAM86B3P,0.8945320557953228,44
1836,RP5.1063M23.1,0.8922279121157646,45
8364,KLRG1,0.8914229208648754,46
491,LINC00930,0.890089500354447,47
5531,RP11.617F23.1,0.8893015494751534,48
4703,DNAH11,0.8890694810551955,49
10987,NA.29,0.8881987343483572,50
10819,DUSP19,0.8880748981575739,51
4520,RP11.48B3.3,0.8875588184192192,52
904,HSPA1A,0.886099097848572,53
2402,TNFRSF10D,0.8847475211840723,54
1619,C9orf106,0.8832527478484408,55
6457,ARAP3,0.8831785737382508,56
4000,LINC00238,0.8824803861975303,57
9382,SEPP1,0.8820511518995957,58
3456,RP11.114N19.3,0.8802995174217962,59
9420,TYMS,0.8798265631872512,60
10648,LRP4,0.8797130453715117,61
10229,PROX1.AS1,0.8793736816638634,62
3289,CDHR5,0.8787928279138462,63
952,RP11.553A10.1,0.8767113270419358,64
10609,GLDN,0.876342744668664,65
2006,RP11.309H21.3,0.876269078571071,66
8449,DPH6,0.876057202835195,67
6843,GOLGA7B.1,0.8758542873538039,68
7672,RP3.388E23.2,0.8752919098423312,69
4155,RP11.689P11.2,0.8726780450858717,70
11084,C17orf67,0.872268080661321,71
8716,PROX2,0.8715910520717683,72
10775,PEX6,0.8708165786268115,73
11064,RASL10B,0.8707744322029022,74
9111,RP1.212P9.2,0.8702416936657856,75
2481,INHA,0.8697057138631155,76
4721,RP11.274H2.3,0.869577904631706,77
8864,HMGN2,0.8692752041991088,78
2677,AC005943.5,0.8685958033474535,79
5506,CCDC151,0.8684701384215137,80
9276,ITPKA,0.8683144359342263,81
10112,THAP2,0.8682784586776476,82
6025,CCNA2,0.8682150541184682,83
3378,RP11.182I10.3,0.8677134958498853,84
1932,TJP3,0.8674127056799202,85
8147,ZBBX,0.8670737536195741,86
10062,CTD.2292M16.8,0.8670360975906054,87
