,gene_name,centrality,rank
8812,RP11.244O19.1,1.0,1
4253,RP11.794G24.1,0.9971030634023732,2
6379,CDK5R2,0.9802359307853267,3
8799,AC011899.9,0.9788292220437844,4
11023,C4orf50,0.9726883454991658,5
10706,PIP5K1C,0.9651710793813655,6
10885,RFC3,0.9640909991951492,7
9985,KCNT1,0.960402790013375,8
10691,ZFHX2,0.9599531552975328,9
7517,RP1.187B23.1,0.9566729361284827,10
10510,HYDIN2,0.9513996302236848,11
10103,CPNE5,0.9505708523472006,12
10782,KIF21B,0.9503683561742433,13
10740,GRIN1,0.949943624645463,14
6423,AC093390.1,0.9466528907288229,15
10542,TXNRD1,0.9463829110666376,16
4641,NRGN,0.9456498934930135,17
7476,KCNC3,0.9449642328319858,18
9168,NEUROD2,0.9443324324749234,19
8875,RAB3A,0.9435187602187537,20
7023,DEPDC4,0.9423149969594187,21
8658,TUBB4A,0.9419923102103137,22
9256,CTD.2281E23.1,0.941452705600198,23
10983,CELF5,0.941426267758452,24
9072,NPTX1,0.941266778980729,25
9992,SYT7,0.9403055034752372,26
10599,LMTK3,0.9387611695395062,27
10549,IQSEC3,0.9375973946537589,28
8153,TNFRSF25,0.9353212414900948,29
10087,DLGAP3,0.9341427013785607,30
10196,RBFOX3,0.9326182481584795,31
9148,CHRM1,0.9318536844568236,32
9878,MGAT5B,0.9316930598956955,33
10773,RAI1,0.9313240415793146,34
9502,VIPR1.AS1,0.9309119401253048,35
10037,CELF3,0.9304036977261102,36
9993,BSN,0.9303052678462082,37
10753,GS1.124K5.11,0.9301734492418222,38
10688,CORO6,0.9283605165532871,39
10712,RP4.555D20.2,0.9282957892568374,40
10685,CELF2.AS1,0.9280145605076713,41
9746,NEFM,0.9279739928670234,42
10182,VIPR1,0.9275658250474675,43
7006,PIANP,0.9266911468983364,44
10606,SHANK3,0.9254649156378078,45
8930,BPIFB9P,0.9243130202403835,46
9918,AGAP2,0.924017934980582,47
10649,STX1B,0.9235399224871512,48
7445,FGF17,0.9233883440854036,49
7902,PRKCG,0.9231466875557066,50
10233,SLC25A22,0.9231298124266536,51
9989,SLC8A2,0.9230684758507088,52
10719,SYN1,0.9228563777041168,53
10601,RCAN1,0.9227969589456453,54
11034,ANKRD13B,0.9226483844755582,55
7591,STAC2,0.9223274614781272,56
10166,SYN3,0.9217039365374784,57
7760,LINGO1,0.9216693230071995,58
7367,FLJ00104,0.9209602283938475,59
8898,CACNA1G,0.9209557108394447,60
6959,AC005481.5,0.9207569957943798,61
10198,ELFN2,0.9196469505912084,62
11045,ZBTB7A,0.9186475485718164,63
8948,AP1G2,0.9183871907532163,64
10624,PRRG3,0.9177685016587617,65
9141,ERICH1.AS1,0.9163892648805787,66
8128,DBH,0.9161913175684809,67
10544,SNAI3,0.9161522152415866,68
8897,PRR12,0.9161341328379817,69
841,RP11.14I17.1,0.9160607480204357,70
9795,UNC5A,0.9156445048720718,71
8981,FAM57B,0.9155974539580731,72
864,RBM3,0.915101901701868,73
8671,DUSP8,0.9146333998930737,74
7434,RP5.1063M23.2,0.9141391820046759,75
10650,AHDC1,0.9137331716541902,76
8734,RP11.90L20.2,0.913661410771503,77
6243,IGSF9B,0.9128422474985307,78
8709,REXO1,0.9115732129949086,79
9331,KIAA1211L,0.9115027003553802,80
8093,RP11.572C21.1,0.9113262820749507,81
10419,NDUFA9P1,0.9110984617316924,82
10776,PVRL1,0.910403807932569,83
9888,MTUS2.AS1,0.9100761339530316,84
10570,TTLL11.IT1,0.909851669255903,85
9982,CLSTN2,0.9096508877912433,86
11053,SCAF1,0.9094797351568994,87
11046,KCNQ2,0.9092322154868785,88
10005,NA.159,0.9092277009196261,89
10170,SH3GL1P1,0.9088951601377628,90
9330,RP11.397C18.2,0.9088742929263877,91
9856,KCNH3,0.9087372123602312,92
7247,CTD.2541J13.1,0.9085077419116303,93
8531,MLLT1,0.9078255457494921,94
10722,SHISA7,0.9073054774570187,95
11017,PLEKHG5,0.9072174231904205,96
6798,CACNA1C.IT3,0.9068350575027798,97
8288,SPDYE3,0.9061831054286694,98
10908,RP3.497J21.1,0.9061508002990076,99
7320,STH,0.9060967919128609,100
10401,AC011899.10,0.905986709620373,101
6537,NA.209,0.9056711549830303,102
10621,ZFAND2A,0.9053550708918946,103
8661,MMP17,0.9046848957242218,104
7807,CTD.3193O13.9,0.9043982389876303,105
10583,CDHR2,0.9039200221857789,106
9615,SLC22A14,0.9038337898456632,107
10732,BAI1,0.9038240100306029,108
7441,KCNQ4,0.9036282653507187,109
10692,ATF4,0.9031000903365993,110
10755,ATN1,0.90309512340138,111
6263,AC019118.3,0.9021293509765435,112
11035,PALM,0.9020048369015368,113
9765,CACNG3,0.9019278098254292,114
10088,CRTC1,0.9019155726674953,115
9132,AC019118.2,0.9018699174351574,116
6370,RP11.188C12.3,0.9017522915713987,117
8590,NR1D1,0.900722493608419,118
9432,CABP1,0.9005383752908227,119
11040,CASKIN1,0.9003681583061068,120
10670,KDM6B,0.9001935724242046,121
10089,CDH22,0.900020639698033,122
8131,POLE,0.899752776128295,123
11030,FBRSL1,0.8995680925154479,124
10694,SH3D21,0.8991367119664448,125
10494,SLC6A7,0.8989846452166157,126
8268,CACNA1C.AS1,0.8987318055909854,127
4615,TRAPPC12.AS1,0.8987142527460287,128
997,RP11.321E8.5,0.8982464662261563,129
10822,GLIS1,0.8979844364981286,130
796,ENTPD8,0.897690268966543,131
6672,CTD.2530H12.4,0.8973046327488642,132
9887,CNIH2,0.8972183803765997,133
8117,RP11.430B1.2,0.8972023940321799,134
9332,EID1,0.8963976355347186,135
8279,VWA5B2,0.8961811684129609,136
5469,AC006003.3,0.8960416289016121,137
10911,PLCH2,0.8953945223271575,138
7994,SHANK2.AS1,0.8945099013290132,139
7761,PTCH2,0.8938533058831684,140
3967,RP11.667M19.9,0.8938390987348069,141
10954,SLIT3,0.8935337159863488,142
10657,RP5.1180C10.2,0.8925173587610054,143
10178,B4GALNT3,0.891357081418088,144
5610,RPL5P27,0.890861053647757,145
7182,CCDC177.1,0.8907200834719847,146
10998,C1orf222,0.8901919627761194,147
10522,CBFA2T3,0.8899628322919654,148
8275,FBXL16,0.8889879159441864,149
3975,C9orf172,0.8882656012198983,150
8844,SOHLH1,0.8881899349660407,151
2144,RP11.121P10.1,0.8875016280017796,152
7854,LRFN1,0.8868637997174145,153
9047,TNNT2,0.8867501431916351,154
10829,LACC1,0.8864375125577945,155
10552,ZFPM1,0.8863980612668901,156
10625,TONSL,0.8861735285524724,157
5538,KLHL34,0.8858309333866102,158
7691,DYNLL2,0.885285348976409,159
11029,GRM4,0.8852125680194476,160
4497,RP1.182O16.2,0.8845882772215152,161
10064,EPHB6,0.8841918358579313,162
10919,SDK2,0.8840687163775965,163
5236,RP11.140A10.3,0.884068146162698,164
4459,RNF208,0.8831249060354865,165
8703,RP11.486B10.4,0.8829857944544127,166
8161,SBK1,0.8826147072403028,167
6308,RPH3A,0.8824384096912844,168
4962,RPL5P25,0.8822867435392774,169
1510,SNORD114.2,0.882244125408424,170
7366,RP11.397A16.2,0.881796089773346,171
8280,FOXP4,0.8813891561143234,172
10750,AC004840.9,0.8812288974205473,173
10593,CEP170B,0.8811251198719839,174
7939,STAT1,0.8801057157034122,175
171,MUC5AC,0.8797389729327121,176
2647,RP1.186E20.1,0.8796534474051982,177
7756,Z83851.3,0.87931889332917,178
6830,SHANK1,0.8790978469678177,179
2404,RP11.958J22.1,0.8788769100393696,180
4840,CTD.3110P2.2,0.8788577078104168,181
10774,SLC19A2,0.8785893978124559,182
8739,RP11.669E14.4,0.8776953728862307,183
5778,HNRNPCP3,0.8775286005685459,184
6675,AC018643.4,0.8772854346874998,185
7509,ALS2CL,0.8770476387782469,186
7702,RP11.73K9.2,0.87695795202509,187
10057,SEMA5B,0.876912856370422,188
8672,RP11.473D24.1,0.8762927318011164,189
9901,HPCA,0.876239610498333,190
8861,C21orf62,0.8760135167196511,191
7142,CPLX1,0.8754870888457742,192
5027,RP11.21B21.4,0.8753483980899176,193
7345,SSBP3.AS1,0.8753062064524835,194
10572,POU2F2,0.8751640602151487,195
7357,AC007563.1,0.8750332738716852,196
10729,LINC00594,0.8748158384823143,197
10278,AC002400.1,0.8744583794836895,198
10554,RP1.90J20.11,0.8740397957345977,199
5797,Y_RNA.18,0.8738176984568276,200
7118,CTD.2555A7.2,0.8737020801777095,201
10978,HRH3,0.8735250938685769,202
8013,CCT6B,0.8734534056723028,203
9858,RTN4R,0.8732960671480318,204
6854,RP11.662M24.1,0.8730599501703643,205
8728,VWA3A,0.8728538647825884,206
8965,CTB.174D11.1,0.8726364162133449,207
10476,RP11.430C7.5,0.872571235264354,208
6074,RP11.28G8.1,0.8721302310511444,209
9043,SLC17A7,0.8719768829533788,210
10680,LRFN3,0.8713041292571394,211
6684,KCND3.IT1,0.8712963471965107,212
8435,FAM90A1,0.8712215486146153,213
8841,HR,0.8712038962425138,214
2968,RTN4RL2,0.8707141575559214,215
10167,CUX2,0.8702679942043519,216
6800,RP11.552E20.4,0.870115346800293,217
11022,HCN2,0.8700319322571889,218
5727,SNX18P7,0.8700169636922204,219
9290,CACNA1C.AS4,0.8698370210630819,220
8759,VWA7,0.8697071230418442,221
10056,KCNN1,0.8695981353082212,222
7744,RP11.416I2.1,0.869294534107938,223
6783,NPAP1,0.8692776257358303,224
5637,RP11.345P4.7,0.8692599421468643,225
11076,XXbac.B562F10.11,0.8691447760725854,226
8594,ANKRD33B,0.8680297724535264,227
7687,AC018720.10,0.8679329041909913,228
6134,NA.271,0.8679162914730221,229
7703,SYT15,0.8676813533857223,230
10537,GLTSCR1,0.867610763348174,231
6434,NCAM1.AS1,0.8675154634718488,232
10534,SLC26A1,0.8671567411001883,233
9359,LZTS1,0.8671431943943778,234
8305,PANX2,0.8667661543955327,235
4980,LIPJ,0.8667503824731676,236
10959,RFX1,0.8666005237129449,237
9469,RP11.389G6.3,0.8662621194840959,238
10727,TIAF1,0.8661377078480322,239
8441,SLC30A3,0.865875195623431,240
6340,RP11.197N18.7,0.8657959188286412,241
8826,C22orf24,0.8655553586454928,242
7341,JHDM1D.AS1,0.8654089358642131,243
4389,RP11.1148L6.5,0.8654021363746831,244
535,FTCD.AS1,0.8646611827125581,245
10960,BEGAIN,0.8645600886279232,246
7467,CLCF1,0.8644844675823066,247
4865,CTD.2290C23.1,0.8642456661683369,248
5255,AC011322.1,0.8642303880428386,249
4675,CTD.2530H12.8,0.8635773631338126,250
11012,CHRNA4,0.8635486995836409,251
2328,RP11.305L7.6,0.8635070559192997,252
7453,RP11.476H24.1,0.8631496206448983,253
10726,C10orf128,0.8630796825983368,254
4997,RP11.5N11.2,0.8629153599074524,255
8504,ZFR2,0.8628658998692454,256
9370,FAM153B,0.8627330176021085,257
9589,OPCML.IT1,0.8627083020883791,258
7912,ISLR2,0.862605858976267,259
6559,HOPX,0.8620755295210059,260
10479,SMKR1,0.861635283863776,261
1059,RHOT1P1,0.8615858484335694,262
10465,MAK,0.8612355802220675,263
4632,RP11.2H8.2,0.8612148649783994,264
10992,ARHGAP33,0.8611612040208083,265
3187,SLC5A3,0.8609571593722063,266
4921,FAM86B1,0.8608968341895739,267
10204,GRM2,0.8608809870537534,268
10359,RP11.216N14.7,0.8606495936078429,269
7034,RP11.482E14.2,0.8599024296398051,270
4423,LA16c.390E6.4,0.8597841802630309,271
7587,CIRBP,0.8597185630505717,272
564,RP11.430H10.4,0.8595782473804897,273
9590,KCNQ5,0.8592725110547106,274
9908,TFEC,0.8591077479252349,275
10711,PKD1,0.8589160965690747,276
5422,AP001065.2,0.8587367048586407,277
9991,PDE2A,0.8585662181437996,278
9228,XXbac.B476C20.13,0.8584046609411214,279
1927,ST7.AS1,0.858355541783009,280
8353,HMGB3,0.8583281273302424,281
4075,XXbac.B476C20.14,0.8582668623346305,282
8902,SP2,0.8582351775849261,283
9340,TRPC3,0.8581342017740066,284
9558,RP1.269M15.3,0.858121801588935,285
10603,NLRP3,0.8580143800836432,286
9211,MAPRE1P1,0.8579966566946393,287
9082,RP1.251M9.2,0.8577802039027912,288
8007,RASGEF1C,0.8574104439431427,289
7500,LY75,0.8571184772400512,290
11043,AC012317.1,0.8570626356892576,291
7949,RP11.325L12.3,0.8569832468324233,292
7438,RP11.38L15.3,0.8569401096425047,293
10862,PAPSS2,0.8569158724003176,294
9399,CAMK1G,0.8566090353668664,295
3387,AC099684.1,0.8564674750891791,296
10705,U2AF1L4,0.8564004703988672,297
10571,PRR7.AS1,0.8563697247144093,298
2734,PTP4A1P1,0.8561848661155746,299
10023,RNF165,0.856049480739864,300
2799,RP11.307C19.1,0.8559092980462111,301
8286,BTN2A2,0.855744188267046,302
10145,FSIP2,0.8556609252502518,303
10362,EIF4HP2,0.8554989578229621,304
11036,SEMA6B,0.855399715349846,305
10667,RP11.690I21.2,0.8552957945642682,306
6582,MIR22HG,0.8551671290475632,307
9218,CTD.2281E23.2,0.8550251712077293,308
5335,RN7SL844P,0.85498267275851,309
6436,RP11.800A18.4,0.854839408410968,310
5677,RSAD2,0.8546793140764649,311
8718,CREB3L4,0.8544555702923483,312
7141,NA.10,0.854357198234421,313
7664,RP11.666I19.2,0.8543100110630237,314
10099,LTBP4,0.8541148217825972,315
3410,NTSR1,0.8539949383623391,316
5545,CTA.299D3.8,0.8537308988271025,317
9231,AC004692.4,0.8535545875423458,318
9969,DOC2A,0.8532317628523722,319
9821,NPTXR,0.8527955575161282,320
3481,GAPDHP32,0.8525361639100475,321
10759,ZNF497,0.8522225222711393,322
8340,RP11.266L9.3,0.852207430291758,323
8359,MDGA1,0.8520572455468999,324
8546,FLT3,0.851800558028253,325
5643,AC140481.9,0.8517456544387022,326
10040,QPCT,0.8516395785708858,327
1076,HSD3BP1,0.851598464130112,328
9117,HTR1E,0.8514795531306466,329
7169,NEFH,0.8513729482008973,330
1291,RP11.247C2.2,0.8510452971304446,331
532,ALB,0.8510411181948953,332
5323,GAPDHP27,0.8510291084889628,333
7120,AL031666.2,0.8509435067888318,334
8113,RASD1,0.8509380962681932,335
9285,OPRD1,0.8508610122173694,336
4237,HIST1H2AG,0.8507970585892287,337
4224,XX.CR54.1,0.850708729061693,338
8334,CDK18,0.8505871418180362,339
1776,RP4.541C22.5,0.8505114730143705,340
9827,FAM163B,0.8503635210192408,341
8449,DPH6,0.8503473379663155,342
10075,MKNK2,0.8502875103194916,343
5351,ZIM2,0.850172330408798,344
4972,RP11.791G16.2,0.8498419021526072,345
6891,PVRL3.AS1,0.8497633955100494,346
10482,ALMS1.IT1,0.8497202654035331,347
9966,CAMK2A,0.8494783340085759,348
8336,SPAG6,0.8494523560523658,349
491,LINC00930,0.8494293481123083,350
10413,CLEC2D,0.8491483817800742,351
6693,C19orf68,0.8488075796731493,352
10173,ANKRD24,0.8486149550639528,353
10162,OVGP1,0.8485940396327603,354
7863,PRRT1,0.848557845426444,355
10735,RP11.705C15.3,0.8485190057113404,356
8464,ZNF358,0.8483507306891886,357
5556,DOK3,0.8482468054624627,358
7746,ZNF750,0.8482063664608438,359
10745,DDIT3,0.8480181549302676,360
9086,AC079233.1,0.8480135197577915,361
10546,RP13.487P22.1,0.8479586057952587,362
6531,RP1.283E3.4,0.8478188884342741,363
2770,RP11.244H3.1,0.8477754884126475,364
9140,EMX1,0.8474751642224527,365
4000,LINC00238,0.8473009853689185,366
8428,CD84,0.8472938543558396,367
10679,PRSS51,0.8472059229332136,368
6519,SLC22A13,0.8471840554845598,369
9454,GJA1P1,0.8471602890291147,370
5248,LINC00467,0.8471195102475294,371
6527,FAM83H,0.8471192091994311,372
10230,SCN3B,0.8470504746275018,373
7954,GBP2,0.8470197286685326,374
5593,CTD.2349P21.6,0.8469764008870965,375
3015,HTR6,0.8469283203802606,376
7219,GPR126,0.846916025853544,377
8779,FPGT.TNNI3K,0.8467298044252599,378
8996,AC087294.2,0.8467276821209825,379
1687,CKS2,0.8465777714499259,380
3180,KRT18P59,0.8462504004990313,381
9513,HDAC1P2,0.8461401449177334,382
11064,RASL10B,0.84612832198871,383
9816,RP11.54F2.1,0.8460545645359074,384
4124,AC007618.3,0.8455756799828152,385
5127,MTND4P16,0.8455623352774455,386
6610,AC090587.2,0.845538207335617,387
4896,RP11.959F10.6,0.8454656962502104,388
4108,LINC00951,0.8453507074675902,389
9916,HECW1.IT1,0.8453071793988065,390
10180,UBB,0.8452569962515065,391
10969,RP11.705C15.2,0.845143568686745,392
4537,RP11.886D15.1,0.8450978528465338,393
6718,ABCB6,0.8449184342445,394
6961,RP11.182J1.14,0.8448746912819005,395
9600,RP11.619F23.2,0.8448709780618805,396
9522,MAD2L1,0.8447045630168869,397
9626,CDH3,0.8446477369147122,398
6708,RP5.1028L10.2,0.844629309658725,399
11065,UBALD1,0.8445664430217378,400
5632,TBC1D10C,0.8445571830966707,401
5601,RP11.320M2.1,0.8444751928448346,402
8398,RP11.441F2.2,0.8444051708745064,403
892,AC062029.1,0.8439442518420671,404
6901,RP11.446H18.1,0.8439213104105062,405
7673,SLC22A8,0.8435881869100552,406
9276,ITPKA,0.8434582367506216,407
7607,C3AR1,0.8429783416111774,408
3385,NPPA,0.8428530389011085,409
9937,BAIAP3,0.842800797867295,410
5498,IFI44,0.842775337926453,411
3073,RP11.1049H7.2,0.8426922184315803,412
7982,RP11.539I5.1,0.8426859729394057,413
2264,RP11.345J13.1,0.8426858336952401,414
9389,RP11.31I22.3,0.8425497399085173,415
665,ABCF2P1,0.8424576062781644,416
3363,PPDPF,0.8423791075315696,417
9760,TAP1,0.8423658400505625,418
2671,RP5.871G17.5,0.8423360652078946,419
1410,HMGA2,0.8423239728902371,420
2386,SYCE1L,0.8420165682680376,421
10216,ZNF596,0.8417479459966752,422
7289,HAAO,0.8417155003861474,423
6526,CRHR2,0.8417013507677272,424
1376,CTD.2587H19.3,0.8415471937148084,425
2980,RHCE,0.8414543423412398,426
3593,RP11.307C19.3,0.841276364150258,427
3428,RP11.163G10.2,0.8411314063518832,428
