,gene_name,centrality,rank
483,RP3.342P20.2,1.0,1
864,RBM3,0.9986637866028997,2
2884,RP11.259O2.2,0.9890784912750955,3
10679,PRSS51,0.9876926197271714,4
4253,RP11.794G24.1,0.986510255592469,5
4932,RP11.133K1.7,0.9830657575915329,6
11105,PRKRIRP2,0.9805121391845745,7
7953,RPL7P29,0.9775535336277097,8
8148,PPP1R15A,0.9774014783917591,9
10570,TTLL11.IT1,0.9765668422451632,10
10712,RP4.555D20.2,0.9751090676857376,11
5442,DMC1,0.9743274888505528,12
8766,NA.100,0.9729769464985452,13
10270,FAT2,0.9721965809451739,14
11020,RP11.981G7.2,0.971461785796558,15
10470,FGF12.AS1,0.9688179181603214,16
10465,MAK,0.9646922194514814,17
10908,RP3.497J21.1,0.9642642298990717,18
6423,AC093390.1,0.9641305951336024,19
10830,MZT1,0.9640548417466919,20
10161,RP11.116O11.1,0.9637044264548379,21
10791,CYP3A7,0.9591568309608899,22
8013,CCT6B,0.9556219062588844,23
8812,RP11.244O19.1,0.954550457281026,24
10691,ZFHX2,0.953819069076938,25
9883,RP11.874J12.4,0.9530462211258106,26
9931,RP11.120A1.1,0.9517615043086677,27
9059,AC136896.1,0.9507793205054427,28
1078,C5orf27,0.9506133795593353,29
9383,RP11.484L7.1,0.9503049393990883,30
10170,SH3GL1P1,0.9490506210798672,31
8737,NA.180,0.9486127317978649,32
8824,RP11.440L14.1,0.9483495503551953,33
7175,CHMP4BP1,0.9476883003283866,34
3660,HAO2,0.9466709412026862,35
8618,ACTG1P12,0.9429437051972451,36
6800,RP11.552E20.4,0.9429066628374164,37
8393,AP000857.2,0.9424859630752012,38
1047,TMSB4Y,0.9424741813537332,39
8328,AP001432.14,0.9423017174735682,40
7907,RP11.53O19.2,0.9413140070391333,41
8939,NAV2.IT1,0.9410034415190184,42
9613,AC011738.4,0.9401750817586692,43
9318,GK3P,0.9399902436092423,44
9815,GLTPD2,0.9399037634324655,45
9361,LNX1.AS1,0.9397303379324952,46
8853,GSN.AS1,0.9395902169639399,47
8459,ANLN,0.9378482480629295,48
9854,CHRM3.AS2,0.9368518724677043,49
10193,AC010127.3,0.9357106873694692,50
11043,AC012317.1,0.9352750137976088,51
10235,NRG3.AS1,0.9350346942112755,52
8224,RP11.313C15.1,0.9345717817309801,53
221,NOS2P3,0.9341986941531831,54
1018,ADAM7,0.934134039964372,55
11136,RP4.777D9.2,0.9337267254666237,56
6801,OSMR,0.9334588674610733,57
9185,RP11.116O11.2,0.9333937116722194,58
6369,RP1.95L4.4,0.9321802065302105,59
578,RP11.958J22.2,0.9320301851335261,60
2655,RP4.769N13.2,0.9308393819555569,61
9211,MAPRE1P1,0.9306643921657166,62
7901,RPS3AP29,0.9301618012584113,63
28,MMP8,0.9298127044701535,64
9055,DLX6.AS1,0.9294640233976461,65
7239,RP5.827C21.2,0.9290085536710813,66
6302,KRT18P6,0.9289241036680254,67
9051,IPO8P1,0.9274028428234993,68
10621,ZFAND2A,0.9273765454167646,69
7542,RP11.484D2.3,0.9270026609382025,70
9564,AP000641.1,0.9266761901521516,71
10106,RP11.390N6.1,0.9264207524358757,72
5719,HK3,0.9264138240218105,73
4030,NUAK2,0.9259202123287648,74
8175,DLEU2L,0.9248947146824794,75
9141,ERICH1.AS1,0.9248169717894137,76
9246,AC012066.1,0.9246377799849633,77
9332,EID1,0.922496198007403,78
10404,AF131215.3,0.9222209464773692,79
111,CD177,0.921809214292366,80
11023,C4orf50,0.9218079488776847,81
7807,CTD.3193O13.9,0.9214168192881079,82
9533,NA.282,0.9213586377200389,83
8428,CD84,0.9212075533251225,84
7445,FGF17,0.9210377844385133,85
4046,RP11.715I4.1,0.920826703560084,86
4870,ASS1P2,0.9207784036415186,87
8359,MDGA1,0.9207405203801667,88
10858,PLSCR1,0.920678937515268,89
6397,AC007790.4,0.920651318778416,90
10419,NDUFA9P1,0.9203914600448252,91
2748,Y_RNA.12,0.9201244535763667,92
4597,RCC2P4,0.9199916849116051,93
10891,TMBIM1,0.9198566986005056,94
9615,SLC22A14,0.9196926556046047,95
