,gene_name,centrality,rank
10885,RFC3,1.0,1
8661,MMP17,0.9884269599096869,2
6537,NA.209,0.9846769456489609,3
8013,CCT6B,0.9754303343002859,4
10712,RP4.555D20.2,0.97299063029928,5
864,RBM3,0.9723259564833793,6
10087,DLGAP3,0.96862655193804,7
11064,RASL10B,0.9595835774117041,8
7118,CTD.2555A7.2,0.9564394123872102,9
7901,RPS3AP29,0.9513837939820442,10
5485,RP11.509J21.1,0.9507788481268038,11
10983,CELF5,0.9501759535548387,12
10343,SERPIND1,0.9501059874164967,13
10062,CTD.2292M16.8,0.9500021721326671,14
11046,KCNQ2,0.947540913801523,15
10609,GLDN,0.9468264242761574,16
6819,RP11.95O2.1,0.9463759583119342,17
952,RP11.553A10.1,0.9445853716325013,18
10056,KCNN1,0.9434052157409357,19
6956,AC009120.3,0.9427435997060362,20
10706,PIP5K1C,0.9403289061811071,21
6565,KCNJ10,0.940154048535524,22
11023,C4orf50,0.9390020568447156,23
7381,CENPH,0.9380312320435217,24
461,CPB1,0.9358663750615965,25
8862,GPR153,0.9358512186600848,26
11035,PALM,0.9355080441807282,27
7587,CIRBP,0.935139138902702,28
10606,SHANK3,0.9338013377561969,29
10829,LACC1,0.9334045022445608,30
5538,KLHL34,0.9309799097180158,31
2525,RP11.890B15.2,0.9289261576330646,32
8196,SLC39A12,0.9289246972636361,33
8531,MLLT1,0.928471450235011,34
4253,RP11.794G24.1,0.9283741875052762,35
9887,CNIH2,0.9265807057945389,36
6457,ARAP3,0.9265312723130791,37
8824,RP11.440L14.1,0.9259544528785982,38
9808,HTR5A.AS1,0.9254639445827861,39
10722,SHISA7,0.9249136205933202,40
1744,CTD.2031P19.3,0.9235154042147037,41
898,HSD3BP2,0.9231329526287734,42
850,RP11.14I17.3,0.9226568017880472,43
4275,SRRM2.AS1,0.9220269256950744,44
10773,RAI1,0.9212847437060977,45
171,MUC5AC,0.9208562663613757,46
10657,RP5.1180C10.2,0.9203641515204471,47
6830,SHANK1,0.9194002812153863,48
4675,CTD.2530H12.8,0.9193440911140137,49
1357,LINC01006,0.918661410912296,50
9950,SOWAHB,0.9181192598110446,51
7366,RP11.397A16.2,0.9168735760342079,52
8574,HSPA5,0.9166159053685006,53
10216,ZNF596,0.9160891281742163,54
7212,WNT7A,0.9148910905629253,55
10974,RLTPR,0.91417695709914,56
8275,FBXL16,0.9135344317837751,57
10593,CEP170B,0.9134367168512472,58
10599,LMTK3,0.9133923622319791,59
8712,SBF1P1,0.9129214901112732,60
5545,CTA.299D3.8,0.9127426385840952,61
10650,AHDC1,0.912532843689184,62
8799,AC011899.9,0.9123641603374004,63
6450,KLHL17,0.9117113879501553,64
8459,ANLN,0.9114071043388692,65
1459,ADORA2A,0.9106973567324421,66
1927,ST7.AS1,0.9105159433960385,67
4467,PLK4,0.9102362987539174,68
247,XIRP1,0.9100750612191765,69
1245,RP11.365O16.6,0.9100086682416546,70
10233,SLC25A22,0.9099899318175223,71
10957,MFI2.AS1,0.9098200973092624,72
5719,HK3,0.9096702105110401,73
532,ALB,0.9093302546275288,74
10037,CELF3,0.9093210032803404,75
1202,ENPP7P2,0.9091687700245779,76
10389,DSCAM.IT1,0.9089272109690587,77
7256,RCC1,0.9086044753038504,78
4103,OR7E13P,0.9084689148770132,79
7367,FLJ00104,0.9084184123976602,80
9359,LZTS1,0.9070173225691446,81
2671,RP5.871G17.5,0.9068807037841484,82
8153,TNFRSF25,0.9068341482480841,83
5707,SPR,0.9063726818046228,84
8353,HMGB3,0.9054128390377052,85
7100,C19orf26,0.9052576639364996,86
9546,ARSE,0.9043464150751557,87
10198,ELFN2,0.9043447440511883,88
5442,DMC1,0.903461848482654,89
11036,SEMA6B,0.9033645920811044,90
4614,COL5A3,0.9033175015719923,91
6465,LINC00263,0.9032426168015224,92
8908,AC079354.1,0.9027317279460038,93
3321,RP11.48B3.4,0.9025096504519337,94
6423,AC093390.1,0.9020090274113328,95
6617,ZNF469,0.9017691175817317,96
6343,PPP1R3G,0.901664369819969,97
4674,LDHAL6B,0.9015910673071866,98
4615,TRAPPC12.AS1,0.9014280549788227,99
8766,NA.100,0.9010481795308211,100
8161,SBK1,0.9010113379217299,101
4366,TSHR,0.9007393620870917,102
9789,RP11.185O21.1,0.9005538859372273,103
10691,ZFHX2,0.9000714448410078,104
9918,AGAP2,0.8997461088589322,105
8957,RP11.109I13.2,0.8992763929167036,106
6414,GAL3ST4,0.8991717305959064,107
10782,KIF21B,0.8986579601959179,108
2287,C11orf34,0.8984778758820787,109
1491,RP11.151G12.2,0.8983198980277659,110
2980,RHCE,0.8974811928754207,111
