,gene_name,centrality,rank
10035,JMJD6,1.0,1
10216,ZNF596,0.9978186712670877,2
3187,SLC5A3,0.989497749247404,3
1637,RP11.386M24.3,0.983205536135143,4
864,RBM3,0.9811899956504715,5
7587,CIRBP,0.9784747439985353,6
9704,AHSA1,0.9706464970590066,7
2121,RP11.386M24.6,0.969085422638066,8
2000,AC006547.14,0.9685030725887124,9
6111,GPD1,0.9669006245237476,10
607,MUC5B,0.9663059015075872,11
6901,RP11.446H18.1,0.9659918212772443,12
10893,TARBP1,0.9622043558376763,13
9900,PCYOX1L,0.9608477047070316,14
4183,RP11.76N22.2,0.9588771898099816,15
10015,SERPINB8,0.9581868085999252,16
7691,DYNLL2,0.9552153236707948,17
10885,RFC3,0.954563999742306,18
7503,LYRM9,0.9542192463256965,19
952,RP11.553A10.1,0.9528570014043326,20
1290,RP11.196E1.3,0.9517780336650917,21
2404,RP11.958J22.1,0.9494832876061581,22
9661,MYO5C,0.9466394917322832,23
4467,PLK4,0.9461875604088866,24
6202,NOXA1,0.9452434950581575,25
10055,KIAA1524,0.9438486603838097,26
491,LINC00930,0.9436251838141325,27
1357,LINC01006,0.941068809647903,28
2954,C17orf102,0.9397164651439655,29
4296,USP2.AS1,0.9388376051201232,30
7689,F5,0.9383019956571381,31
8716,PROX2,0.937025498690143,32
2402,TNFRSF10D,0.9355642476266763,33
8577,FAM167A,0.9347033844758409,34
1619,C9orf106,0.9340840259136951,35
8449,DPH6,0.9339620349759402,36
8112,HSPH1,0.9335909841267328,37
2359,ST6GALNAC1,0.9334790614681535,38
7550,PPP1R1C,0.9328015941061077,39
8614,C19orf48,0.9297078228387006,40
10609,GLDN,0.9295907921165538,41
8814,RAB34,0.9266447889167271,42
7319,C5orf55,0.9263763704787952,43
6739,ENOSF1,0.92283351190854,44
6369,RP1.95L4.4,0.922155812301015,45
850,RP11.14I17.3,0.921842815645871,46
5632,TBC1D10C,0.9204540678944385,47
6245,SLCO2A1,0.9195420642478507,48
8817,CACNA2D3.AS1,0.9185629144066751,49
1298,PSG3,0.9182057984270375,50
1439,CASP16,0.9179944171383958,51
8359,MDGA1,0.9177536602389444,52
4000,LINC00238,0.9174931493950926,53
1848,WI2.81516E3.1,0.9171100123751936,54
7180,RP11.446H18.5,0.9170030673328441,55
8285,MRPS6,0.9164843153155376,56
5485,RP11.509J21.1,0.9154180248100485,57
10843,RP11.340F14.5,0.9151269878707524,58
7256,RCC1,0.9145922882550335,59
1320,SNX31,0.9143909338158249,60
841,RP11.14I17.1,0.9141157781837749,61
6544,CHORDC1,0.9134209008419917,62
6782,TPPP3,0.9128658762855987,63
8605,RP11.489G11.3,0.9128579009674749,64
8687,RP11.197K6.1,0.9128484731236275,65
6886,SLC43A3,0.9125973146386186,66
7872,MYL5,0.9119897943627351,67
6034,MUM1L1,0.9119462282979903,68
8691,LDB3,0.9118871996601791,69
8970,ZNF710,0.9114726837677912,70
