,gene_name,centrality,rank
8148,PPP1R15A,1.0,1
10570,TTLL11.IT1,0.9950562819577341,2
10675,WDFY4,0.9842049912594333,3
864,RBM3,0.9745998876817751,4
10147,ADAM28,0.970176927974078,5
6005,UCP2,0.967999537413612,6
10691,ZFHX2,0.9593932585391797,7
10030,AIF1,0.9534036192977235,8
6774,RGS10,0.9530914763268862,9
8635,C3,0.9498110640968599,10
11136,RP4.777D9.2,0.9465433037329262,11
4916,RP5.1184F4.5,0.9465248483990811,12
5442,DMC1,0.9464624576674161,13
10378,AC010240.2,0.9449305638232846,14
9815,GLTPD2,0.9434927045306511,15
5427,LPAR5,0.9416678389548148,16
10559,CSF1R,0.9416043166331077,17
4253,RP11.794G24.1,0.9415727610681989,18
2987,SPDEF,0.9403071414170385,19
10214,BTK,0.9401308991159304,20
4932,RP11.133K1.7,0.9393793635631831,21
11117,LPCAT2,0.9392604631526249,22
11054,TLR1,0.938650692543605,23
9211,MAPRE1P1,0.9384371293492791,24
10712,RP4.555D20.2,0.9375206234202212,25
9426,CYBB,0.9363765397632545,26
10470,FGF12.AS1,0.9363715049622378,27
10963,LAPTM5,0.9363451833726164,28
10465,MAK,0.9358239777322925,29
10130,AOAH,0.935424436631481,30
6697,GPR65,0.9351618513944433,31
4693,RASAL3,0.9345969748163315,32
11133,TBXAS1,0.934545962800472,33
9564,AP000641.1,0.9327806771336611,34
10743,FLI1,0.9326063122978894,35
8812,RP11.244O19.1,0.9322806620977571,36
1784,FAM177B,0.9321604025405539,37
10164,UBA7,0.9315176084034568,38
11105,PRKRIRP2,0.9310046374977003,39
10664,HHEX,0.9308129259306186,40
6414,GAL3ST4,0.9307723906164965,41
8013,CCT6B,0.9303842977532707,42
10952,TLR6,0.9285344009354954,43
5524,CD33,0.9281518542057143,44
6384,KYNU,0.928068963393846,45
8888,TIPARP,0.9279444029991614,46
11110,RP5.1057J7.6,0.9274804911396924,47
10556,INPP5D,0.9265308119604052,48
10791,CYP3A7,0.926320682134135,49
8209,PTAFR,0.9259349218181505,50
1212,AP000439.1,0.9257183286616877,51
10171,APBB1IP,0.9252715134394398,52
9383,RP11.484L7.1,0.9245508231797236,53
2884,RP11.259O2.2,0.9244981246255015,54
8428,CD84,0.924104806631475,55
6713,RNASE6,0.9237682043164214,56
7903,GIMAP2,0.9236210742413434,57
8224,RP11.313C15.1,0.9234834484810338,58
6648,TMEM119,0.9233160176274682,59
10566,SYK,0.9223470832523892,60
9908,TFEC,0.921755768364961,61
8621,CMKLR1,0.9202373693991394,62
10908,RP3.497J21.1,0.920094008802755,63
8766,NA.100,0.9200214945244152,64
6800,RP11.552E20.4,0.919786569486129,65
28,MMP8,0.919474013780699,66
9613,AC011738.4,0.9194729882987899,67
7692,BLNK,0.9193332738330123,68
6039,MS4A7,0.9189559645485949,69
9433,RP11.210N13.1,0.918380749385107,70
8824,RP11.440L14.1,0.9182088736167305,71
10948,PLCB2,0.9172920574821666,72
2358,RP11.151A6.4,0.9166641920916389,73
3660,HAO2,0.9164656636255685,74
7953,RPL7P29,0.9164366977258992,75
10567,FYB,0.9152945631170383,76
3481,GAPDHP32,0.9148879079349671,77
2906,CTD.2119L1.1,0.9147294013603507,78
8931,RP11.545E8.1,0.9146761636865611,79
6901,RP11.446H18.1,0.9144427244829844,80
2109,GADD45B,0.9144364679601533,81
10614,ABI3,0.9133548100020569,82
