"","x"
"WASH7P",0.684851324001503
"RP11-34P13.15",0.703812124517878
"RP11-34P13.16",0.757704541585605
"FO538757.1",0.662454362021461
"AP006222.2",0.702376812612631
"RP4-669L17.10",0.657779464609271
"MTND1P23",0.719835824404602
"MTND2P28",0.790090547819455
"MTCO1P12",0.610640106821892
"MTCO2P12",0.773788564284449
"MTATP8P1",0.767850363258849
"MTATP6P1",0.612374342416839
"MTCO3P12",0.882168759907707
"CICP3",0.780201010644437
"RP11-206L10.2",0.475614663307686
"RP11-206L10.9",0.629918533613759
"RP11-206L10.8",0.74901508378581
"FAM87B",0.736840724498361
"LINC01128",0.507831846141421
"LINC00115",0.694540854445754
"RP11-54O7.1",0.731376340366401
"RP11-54O7.3",0.703803903683024
"SAMD11",0.679546966948343
"NOC2L",0.196899542498864
"KLHL17",0.384804540316522
"PLEKHN1",0.718203077341444
"PERM1",0.305025869895562
"RP11-54O7.17",0.585354999084108
"HES4",0.506993174483211
"ISG15",0.416857101822756
"AGRN",0.348950320030143
"RP11-465B22.3",0.837617192135615
"RNF223",0.760499200017763
"C1orf159",0.411911188964875
"LINC01342",0.783862647612413
"TTLL10",0.874924842715174
"TTLL10-AS1",0.917010662391732
"TNFRSF18",0.653517040355111
"TNFRSF4",0.53848637876683
"SDF4",0.214285375224918
"B3GALT6",0.415914590277682
"FAM132A",0.693771580562477
"RP5-902P8.12",0.764773335321528
"UBE2J2",0.222949877168628
"RP5-902P8.10",0.462115954837047
"SCNN1D",0.228243906635359
"ACAP3",0.288979757990315
"PUSL1",0.430330305203897
"RP5-890O3.9",0.419111400695084
"CPSF3L",0.249619921897447
"CPTP",0.174711841487977
"TAS1R3",0.714259201179884
"DVL1",0.271862106086252
"MXRA8",0.314223721361525
"AURKAIP1",0.167535322606551
"CCNL2",0.343332260116704
"RP4-758J18.2",0.568467999487994
"MRPL20",0.218680343284125
"RP4-758J18.13",0.438323172834448
"ANKRD65",0.435960247352934
"RP4-758J18.10",0.519173216536513
"VWA1",0.282478423952324
"ATAD3C",0.746461468529794
"ATAD3B",0.385773253429704
"ATAD3A",0.220554564067197
"TMEM240",0.524720282225131
"SSU72",0.319460822601849
"RP5-832C2.5",0.487856568831249
"FNDC10",0.688368994548772
"RP11-345P4.9",0.349365512841766
"MIB2",0.267319413333806
"CDK11B",0.255042454692743
"RP11-345P4.6",0.801817671353775
"SLC35E2B",0.420505936679597
"CDK11A",0.430949689444071
"RP1-283E3.4",0.709421066848718
"SLC35E2",0.610983780302088
"NADK",0.215473462903246
"GNB1",0.498840942289953
"RP1-140A9.1",0.581856066450904
"CALML6",0.531347243516479
"TMEM52",0.251872370085927
"GABRD",0.839705817479679
"PRKCZ",0.737638164919823
"RP11-181G12.2",0.818238248844576
"FAAP20",0.437231582629434
"SKI",0.504926762008406
"RP4-740C4.5",0.66259289755612
"RP4-740C4.7",0.772935522079582
"MORN1",0.481736887910224
"RER1",0.223289201913514
"PEX10",0.342268661227459
"PLCH2",0.950774006653076
"PANK4",0.413046529723231
"RP3-395M20.12",0.717827402314841
"TNFRSF14",0.339235120938696
"RP3-395M20.8",0.728844264261729
"RP3-395M20.9",0.758580022395495
"FAM213B",0.375217489149842
"LINC00982",0.69507014536948
"PRDM16",0.720602846515515
"ARHGEF16",0.827009304350566
"MEGF6",0.60233842819083
"RP11-46F15.2",0.589326375215689
"TPRG1L",0.357153092679841
"TP73",0.773197836610344
"WRAP73",0.305351812322652
"TP73-AS1",0.506970814976172
"SMIM1",0.759440443298534
"RP1-286D6.5",0.603130059861142
"LRRC47",0.354812374553702
"CEP104",0.208653245812281
"DFFB",0.485628396278913
"C1orf174",0.346785427406702
"LINC01134",0.246726500922872
"AJAP1",0.505369607143003
"KCNAB2",0.46894584327923
"NPHP4",0.447124541733009
"CHD5",0.595779297070803
"RNF207",0.446093019232656
"RPL22",0.51617785725637
"ICMT",0.577402240241723
"GPR153",0.554385190651755
"ACOT7",0.576475344383932
"TNFRSF25",0.377861701870368
"PLEKHG5",0.463126234132812
"NOL9",0.468527362385984
"ZBTB48",0.367702571056571
"PHF13",0.560108098170237
"KLHL21",0.391925394989199
"THAP3",0.533000959169217
"DNAJC11",0.309967866385162
"CAMTA1",0.335988979861896
"VAMP3",0.501195403425523
"RP3-467L1.6",0.710376659389127
"PER3",0.369491055156248
"RP3-467L1.4",0.498527868459168
"PARK7",0.333041959006653
"ERRFI1",0.258824645823782
"RP11-431K24.1",0.691691579118058
"SLC45A1",0.61973441880999
"RP5-1115A15.1",0.662088353169053
"RERE",0.269302793344426
"ENO1",0.265838685412844
"ENO1-AS1",0.583132691755014
"SLC2A5",0.517471869320064
"GPR157",0.465888703366071
"RP3-510D11.2",0.46673225863764
"MIR34A",0.33603717564958
"H6PD",0.371044812657759
"SPSB1",0.239593197773846
"SLC25A33",0.332782264195864
"RP13-15M17.1",0.641136974198732
"TMEM201",0.25383431649799
"PIK3CD",0.368334662599787
"PIK3CD-AS2",0.673278098397106
"CLSTN1",0.602160796343609
"CTNNBIP1",0.281378238462842
"RP11-84A14.4",0.765138735943721
"LZIC",0.418958556008008
"NMNAT1",0.198768927061051
"RBP7",0.65221974625691
"UBE4B",0.206997557818324
"KIF1B",0.289395065632356
"PGD",0.647641657430961
"APITD1",0.398056480980119
"CORT",0.590478532571118
"DFFA",0.380580468084914
