"","source_variances"
"WASH7P",0.631545996458976
"RP11-34P13.15",0.591329940203963
"RP11-34P13.16",0.692523656687496
"FO538757.1",0.602147586202002
"AP006222.2",0.762707923343027
"RP4-669L17.10",0.814411085348703
"MTND1P23",0.72261008806794
"MTND2P28",0.745008732572527
"MTCO1P12",0.578458052745092
"MTCO2P12",0.795723549841323
"MTATP8P1",0.826953904741979
"MTATP6P1",0.648731311927658
"MTCO3P12",0.864864442901154
"CICP3",0.781529976346988
"RP11-206L10.2",0.619705076812174
"RP11-206L10.9",0.505585841274753
"RP11-206L10.8",0.731559348747026
"FAM87B",0.779066944006817
"LINC01128",0.430570152673213
"LINC00115",0.392188668288594
"RP11-54O7.1",0.744886812429729
"RP11-54O7.3",0.462906796675205
"SAMD11",0.370034433618691
"NOC2L",0.273027224259698
"KLHL17",0.299167691645459
"PLEKHN1",0.316448277799239
"PERM1",0.523705577699203
"RP11-54O7.17",0.787659556789145
"HES4",0.504265773096995
"ISG15",0.540660221176434
"AGRN",0.356431255989781
"RP11-465B22.3",0.53357055113802
"RNF223",0.829410641321744
"C1orf159",0.254140014570346
"LINC01342",0.566907955091986
"TTLL10",0.701363378912778
"TTLL10-AS1",0.825246176017434
"TNFRSF18",0.749698737186727
"TNFRSF4",0.585026121498563
"SDF4",0.312294400414753
"B3GALT6",0.439090768698007
"FAM132A",0.720065177517552
"RP5-902P8.12",0.838398726494591
"UBE2J2",0.309796525292906
"RP5-902P8.10",0.535542267620899
"SCNN1D",0.313548643399007
"ACAP3",0.32485052661528
"PUSL1",0.230626372164416
"RP5-890O3.9",0.402929422912848
"CPSF3L",0.193934733011947
"CPTP",0.348808694977534
"TAS1R3",0.754166429308518
"DVL1",0.137875402522916
"MXRA8",0.347224264422243
"AURKAIP1",0.215265662675873
"CCNL2",0.18440811335548
"RP4-758J18.2",0.397857453082589
"MRPL20",0.271891587843827
"RP4-758J18.13",0.548015464877781
"ANKRD65",0.714355064919003
"RP4-758J18.10",0.386671803408626
"VWA1",0.354198654139783
"ATAD3C",0.561557547666445
"ATAD3B",0.235660601732679
"ATAD3A",0.279991618600932
"TMEM240",0.504902663491599
"SSU72",0.22098872691499
"RP5-832C2.5",0.716099057162684
"FNDC10",0.48971227409554
"RP11-345P4.9",0.556229106074085
"MIB2",0.220541776765476
"CDK11B",0.627609734871325
"RP11-345P4.6",0.607434932444417
"SLC35E2B",0.653817001768069
"CDK11A",0.571284666985087
"RP1-283E3.4",0.681003839830881
"SLC35E2",0.577689135216599
"NADK",0.327429653804324
"GNB1",0.351619433614174
"RP1-140A9.1",0.745982941977154
"CALML6",0.385523757653444
"TMEM52",0.182757099049663
"GABRD",0.603640120659475
"PRKCZ",0.301778444691511
"RP11-181G12.2",0.420944162956804
"FAAP20",0.31673604018147
"SKI",0.428064253781649
"RP4-740C4.5",0.39528352288265
"RP4-740C4.7",0.645617945213982
"MORN1",0.526414873873148
"RER1",0.308665054389826
"PEX10",0.454805423814468
"PLCH2",0.572850994804414
"PANK4",0.434055304995086
"RP3-395M20.12",0.613601524301365
"TNFRSF14",0.360656699618653
"RP3-395M20.8",0.403525486482441
"RP3-395M20.9",0.747985641412721
"FAM213B",0.332913041957613
"LINC00982",0.491415892963132
