,gene_name,centrality,rank
13312,NXF1,1.0,1
12872,NCL,0.9949291300540386,2
6039,MCM2,0.9770788705764808,3
11427,RPA1,0.9695008864345132,4
12754,SNRNP200,0.9562591170325588,5
8444,TP53,0.9526088927031097,6
13930,DDX54,0.9520386233175999,7
6490,XPO1,0.9488362701589815,8
9697,DDR2,0.9478932020413601,9
11303,RBM14,0.9471883046929727,10
4282,LRRN4CL,0.9441066351071584,11
9408,MCM4,0.9390023799189606,12
14170,FOSL2,0.9376738242125537,13
13283,UBE2B,0.9373491803701098,14
7402,ADH1B,0.9342728032359637,15
10283,JADE1,0.9311137265645608,16
2276,TOR1AIP2,0.9310919052269557,17
7780,ZNF189,0.9295796779584172,18
12228,CALM1,0.9292546526517176,19
9197,HSP90AA1,0.9290774511501259,20
8589,ERRFI1,0.9261238635652232,21
7610,TOB2,0.9251788608751701,22
10006,CDH1,0.9225589826971002,23
10805,SMAD3,0.9223114655995757,24
13201,APP,0.918461692808293,25
13811,KLF9,0.9150164983552809,26
7668,SUSD4,0.9133066814818912,27
7226,ABCA8,0.9119828300607261,28
13719,ZBTB16,0.9107189638908249,29
6160,TMED1,0.9069984152742726,30
7797,ARSK,0.9047774597204735,31
12931,NPM1,0.9043683305498836,32
6951,SYBU,0.9043664102117176,33
14042,BNIP3,0.9038861114770782,34
13066,PSMC5,0.9022346290091569,35
6574,ZBTB21,0.901434023132588,36
12291,DSTN,0.9012493242138966,37
8413,PTRF,0.9007541615681437,38
12006,CYP3A4,0.898460872238658,39
13875,HIPK2,0.8982987842045449,40
7126,ANGPTL2,0.8982159788563978,41
11346,CYP3A5,0.8971946974236255,42
13780,TRIM28,0.8963543564343077,43
8074,HOOK3,0.8957675550750969,44
13877,TSC22D3,0.8944488313660153,45
13315,ACTG1,0.8926488968094172,46
13810,HNRNPA1,0.8926471458031371,47
10639,CYP3A43,0.8914253037501857,48
14205,LRP1,0.8910546053010823,49
12431,SLC19A2,0.8906523206162181,50
8062,GMPR,0.8891743662451712,51
14444,TRAF3,0.8887733646829945,52
13032,BCL2L1,0.8874238594431157,53
12368,TNFRSF12A,0.8871264448174214,54
13313,AFG3L2,0.8865230700293301,55
12714,TPRN,0.8863281603618196,56
11430,LINC00672,0.8862628207515907,57
10738,ACADL,0.8859427486557359,58
9554,PHB2,0.8851415906049654,59
13695,DCTN2,0.8838063770295466,60
11094,PKIG,0.8837875595997642,61
13130,DDX5,0.8836506037979317,62
12582,FBXO6,0.8826400575032759,63
13704,NAA10,0.8815258755037562,64
10884,MCM6,0.880896617370059,65
10400,GPR160,0.8793798025016474,66
7916,TP53INP2,0.8793430768841205,67
14292,NR2F2,0.8792278619700655,68
7488,NEDD9,0.8791274074927762,69
8605,NDEL1,0.8789012930591076,70
7175,SERPINE1,0.8787323548805394,71
8910,SLC20A2,0.8785223577484235,72
12328,USP54,0.8781580642267144,73
13765,PPP1CC,0.8779811036961963,74
13498,RHOBTB3,0.8774929387527851,75
10954,UPF1,0.877317284176062,76
8717,GPX3,0.8771690599367259,77
6715,CEBPB,0.8758218433184195,78
10768,ILK,0.8754953032504926,79
14379,TERF2,0.8752411826419874,80
7146,CLDND1,0.8749114281334093,81
11962,METTL7A,0.8747204591302267,82
9763,FNBP1L,0.8742213909004111,83
9712,IRF6,0.8738745874241435,84
8071,EIF3F,0.8736613673290162,85
4159,ACSM3,0.8731860845178264,86
10130,TRPV6,0.8727951406235301,87
6939,HINT1,0.8727706357298721,88
8137,ADAM33,0.871654372026745,89
11931,DDIT4,0.8714479222192332,90
13269,B4GALT1,0.8712407532206256,91
10009,SPINT1,0.8712055324056754,92
10904,C2orf88,0.8697562599656997,93
10143,PNLIP,0.8696513977935447,94
13477,RAB4A,0.8690369264111781,95
12489,PLEKHH3,0.8690066341602336,96
13730,MYH9,0.8688305195850343,97
4580,ERGIC1,0.8685088445698211,98
7616,BRCA1,0.8680386081860427,99
10503,MYCL,0.8674193929840524,100
3315,APOLD1,0.8671717768907451,101
8523,PDK4,0.8669183816115883,102
7313,CNR1,0.8668751099890616,103
3157,COBL,0.8657299708225766,104
10007,PRSS8,0.865667051551827,105
3658,ABCC1,0.865535070057765,106
11312,CALM2,0.865387502149042,107
9644,RPL38,0.8646790270871421,108
13617,ODC1,0.86457665589585,109
12479,PTPRN2,0.8640986433033689,110
11381,POU2F2,0.8634610233750707,111
9028,DNPEP,0.8633711626052073,112
13607,PPIF,0.8631062831072531,113
12376,CST3,0.8630010710976763,114
14196,FEN1,0.8625284541038329,115
8741,PIP5K1C,0.862524164443773,116
10449,PLLP,0.8624796625850433,117
12988,KPNB1,0.8624658890899267,118
13626,LAMC1,0.8623854190643653,119
14203,RTCB,0.8623853448843323,120
12611,UBE2A,0.862318734773882,121
11252,ERBB2,0.8622507493472038,122
3251,PROSER2,0.8622403281469204,123
12957,IGBP1,0.8621111277381953,124
13233,SERP1,0.8620818288726908,125
13516,RAB6A,0.8619142273971827,126
6824,GPR107,0.8614906730994103,127
10644,FAM131A,0.8608304038855014,128
11680,DTX3L,0.8607239488557226,129
12707,MEAF6,0.860353546722709,130
14428,SMARCC1,0.8601314160523543,131
7952,PTGIS,0.8601180275569572,132
14031,RTN4,0.8600862947365838,133
11918,GNMT,0.8599609021070365,134
12980,CCND3,0.8597067133501574,135
8872,NOTCH1,0.8596689828134203,136
13966,OXA1L,0.8596218520279729,137
10065,SPTBN1,0.8594913196815227,138
8278,CD9,0.8594507942068624,139
13358,TIMM9,0.8593503238500205,140
7632,SLF2,0.8592995683923299,141
