,gene_name,centrality,rank
12895,EGFR,1.0,1
14315,RELA,0.9813938404895294,2
9357,KTI12,0.9747512639584472,3
14436,CLCN4,0.9501168829686076,4
8518,DBR1,0.9392838723202591,5
13433,GIGYF1,0.9388321576274369,6
11232,ASPH,0.9340002330341222,7
8733,SNX11,0.9322146562358065,8
6904,ZNF687,0.9297148148614345,9
12677,RUVBL2,0.9278196270755102,10
8086,GPN2,0.9268143846810498,11
14077,SOS2,0.9221631848450691,12
10576,FAM160B2,0.9216345400133665,13
3934,RNF219,0.9197848273147021,14
8317,HMGN2,0.9191184911431466,15
13146,TSC1,0.9184655880559153,16
9903,SMARCD1,0.9174324520094574,17
11465,SKP1,0.9172541259682471,18
13574,NAPA,0.9164525051657467,19
14037,CDK2,0.9159163760352315,20
12286,BCAS3,0.9137247731759804,21
14236,ELAVL1,0.9135371907422514,22
8444,TP53,0.9130222970342037,23
10735,PHKA1,0.9128768892103911,24
13682,DYNC1H1,0.9113298503906063,25
10309,TPD52L1,0.9098700340142101,26
9930,AP1S2,0.9095221776620064,27
13803,YWHAE,0.9091227461626635,28
13162,USP9X,0.9089967489315783,29
14341,CELF2,0.9086428126200627,30
12916,RAB7A,0.9084291902348102,31
12121,CLK1,0.9082840572627092,32
8119,ZBTB39,0.9082182713171376,33
10402,CAMK2D,0.9070205232435321,34
14406,MED1,0.9053724318580929,35
10775,PFKM,0.9048774984288817,36
9065,EIF4G3,0.9037216659674803,37
9340,ATP1A1,0.9027301907413663,38
11936,RBBP7,0.9024552789042161,39
12373,SMYD5,0.9022978370618917,40
11349,INTS3,0.9012421691818907,41
8149,ZNF620,0.9011909874854471,42
6379,FNTB,0.9011143086234424,43
12228,CALM1,0.900669894387345,44
8380,RFC4,0.8988435503747991,45
13953,ARNT2,0.8982904353211404,46
12974,ARHGAP35,0.8979115042744075,47
6364,CYP2J2,0.8970620394869474,48
422,TNNI1,0.8951576934879955,49
14083,VCL,0.8950588427210833,50
14349,AP5Z1,0.8947282417920214,51
9462,USHBP1,0.8947038027493693,52
12746,GPD2,0.894375109294657,53
13719,ZBTB16,0.893902998987497,54
8494,ZIK1,0.8936976874617355,55
13066,PSMC5,0.8934285101822854,56
6039,MCM2,0.8933929076348246,57
13767,HSP90AB1,0.8924561000493635,58
12431,SLC19A2,0.8918127676284585,59
7677,AHCYL1,0.8910810573092017,60
14230,NME2,0.8906359573925362,61
13268,USP1,0.8902854499572523,62
10089,AKT2,0.8893360121951424,63
14071,COPS5,0.889077226202658,64
13341,ACIN1,0.8890365156570939,65
13201,APP,0.8886871515557969,66
7976,ANKRD49,0.8881623650832254,67
9564,DNMT3A,0.8880763465346295,68
12820,DAG1,0.8865494338563631,69
6468,ZSCAN25,0.8865290536162304,70
13210,GSN,0.886039365786478,71
5558,HDAC1,0.8860250736683454,72
9496,HOMER1,0.8859573699088145,73
7572,GCC1,0.8856512258115702,74
12902,ADD1,0.8853636234648999,75
9161,ARIH2,0.8848867831818432,76
11181,SETD1B,0.884661420286507,77
14318,USP5,0.8837979903175401,78
13414,ACO2,0.8837927415605227,79
8996,PDE11A,0.883427473460562,80
792,POC5,0.8833611851833966,81
10917,SCARB2,0.8830536753328598,82
12751,BIRC6,0.8829694711904378,83
1350,CSRP3,0.8825677582843969,84
5468,MYH7,0.8822353250047328,85
4643,IFFO2,0.8822289696340023,86
6746,ZKSCAN2,0.8816725348518817,87
12979,SHC1,0.881166129843216,88
13694,PPP2R1A,0.8810170893168803,89
9120,ZSWIM3,0.8808923716209727,90
12507,TSEN34,0.8807879004554956,91
14321,AIFM1,0.8805408546796801,92
