,gene_name,centrality,rank
9849,RP11-680C21.1,1.0,1
6017,RP11-6N17.10,0.9950585330706309,2
3852,NPAS2,0.9938130265411903,3
6900,AC116614.1,0.9903012126741448,4
13036,DUSP3,0.9878790147445008,5
725,RPL23AP97,0.985938852303844,6
5966,HSPA12B,0.9840624810180078,7
11235,CDH23,0.9801421675254152,8
11617,RP11-707G18.1,0.9801317438194016,9
9498,CBLN4,0.9775637782620022,10
5913,RP11-706O15.1,0.9773574842768517,11
237,PGM5P4-AS1,0.9772675341635357,12
10263,RP11-36C20.1,0.9769565250748341,13
11875,SRSF4,0.9762251283103105,14
14198,COL5A1,0.976032136217713,15
11611,HSD17B7,0.9754675564674865,16
6771,ACOX2,0.9740315321265934,17
8705,WISP1,0.9732777939502548,18
14591,OPHN1,0.9727689357561364,19
12966,DGAT1,0.9719028691152442,20
14614,SGSM3,0.9718646709104822,21
11320,CCDC18-AS1,0.9711081937411945,22
9900,MTMR11,0.9707321065539345,23
9978,ZBED4,0.9701949459445153,24
12243,TNFSF13,0.9701283433229378,25
8760,RAD51D,0.9699492785748929,26
2855,ANXA8L1,0.9690887198578837,27
10199,RAB30-AS1,0.9689029072203055,28
7991,CTD-2545G14.4,0.9686816288481277,29
11679,EMILIN2,0.9686348608527933,30
3394,DPP4,0.9683634547001694,31
6963,PHLPP2,0.9680679061934245,32
6059,EPHA4,0.9678575442734714,33
14689,PSMA2,0.9676709409264502,34
11447,PKHD1L1,0.9673822076848694,35
12460,LEPROTL1,0.9671466037757822,36
3876,RP11-552F3.4,0.9668863533117282,37
10904,INHBB,0.9668831840870425,38
4415,KCNE4,0.9667126371471935,39
8309,RP9,0.9666656449113296,40
9946,CCDC122,0.9665677078979223,41
6755,GMDS,0.966246667050644,42
6695,RP11-311F12.1,0.9661064582016285,43
6751,GALNT10,0.9660710991079002,44
11337,GPR180,0.9658579917175097,45
7455,HPN,0.9654325009771083,46
9309,RAMP2,0.9649896302319015,47
9413,RAB6B,0.9648758720105622,48
7519,RP11-45M22.2,0.9647923689415002,49
8810,MAGI2-AS3,0.9646102654043358,50
14344,CRADD,0.9645772338585139,51
508,LINC01291,0.9643854935943758,52
13097,APOE,0.9642066429238569,53
11446,GRIK2,0.9639134262421085,54
10680,TMEM38A,0.9638771851349693,55
1866,CD163L1,0.9638151823945488,56
7098,CTIF,0.9636447379574831,57
12650,IBA57,0.9636153115020016,58
640,NCCRP1,0.9633949975496128,59
8796,KCNE1,0.9632307484342133,60
10103,MYBPC3,0.9631692508619676,61
8934,RAB3IL1,0.9625573113959482,62
13024,FASTK,0.9620989147930052,63
10541,SIRPA,0.961966399344758,64
8997,AGRN,0.9617214766985188,65
1985,CROCC2,0.9615697666969751,66
8187,MYO1E,0.9614408714874059,67
9497,CH507-42P11.8,0.9613936146512431,68
5828,TSGA10,0.9613263014586843,69
1637,RP11-250B2.4,0.9611744091928703,70
3242,ANKRD30B,0.9610764581076285,71
9005,DISP2,0.960329285435775,72
8449,PEBP4,0.960231992127996,73
11349,CCDC30,0.960172924624944,74
8729,MPC1,0.9601579413879463,75
9092,F3,0.9600488045639379,76
9799,PKN3,0.9599522706665907,77
14776,PIK3CD,0.9598230290240883,78
9596,NDRG1,0.9594583488228738,79
4941,BAALC,0.9591839434616808,80
12148,HSPA8,0.9591739262985328,81
1779,AP001347.6,0.9588669813337635,82
9542,ABCA7,0.9587045687253088,83
10321,CTD-2574D22.2,0.9586505668933698,84
7731,DNAL1,0.9585531242541236,85
11445,TOLLIP-AS1,0.9585325654477649,86
9249,LYRM4,0.9585023892796082,87
8188,SOGA3,0.9584780766841474,88
6140,NPIPA2,0.9582523637755024,89
13524,IGF2,0.9581798049466357,90
4799,CTD-3234P18.6,0.9581637888062782,91
5659,MASTL,0.9581534506922472,92
11562,NARF,0.9581459990550352,93
13633,ARID1A,0.9580500919492473,94
13662,ARF6,0.9580294482002805,95
7077,CXCL14,0.9579095678346154,96
896,NLRP2,0.957662199509851,97
6536,CFAP43,0.9574255686555169,98
13094,NENF,0.9573412696790163,99
13312,CHAMP1,0.9572097572364114,100
2809,CTD-2001J20.1,0.9571896842790271,101
13288,COL1A2,0.957187451123014,102
4527,RNFT2,0.9571727562190262,103
12355,LDHD,0.9569901888638271,104
5488,GIPR,0.9569829486737221,105
12907,RSF1,0.9569602124907386,106
11684,ABCG1,0.9567198089496464,107
1677,LINC00937,0.9567004390034153,108
14593,CD276,0.9565311770294473,109
7423,RP11-16E12.2,0.9561879669740175,110
9410,TUBGCP4,0.9560475380785942,111
11615,C15orf40,0.9559876097579842,112
13571,IQGAP3,0.9558958787435277,113
14397,SRSF6,0.9558571446201982,114
13661,KLF9,0.9558366720763617,115
6308,FRMD8,0.9556042392428913,116
565,AP001462.6,0.9555746544201116,117
5774,XKRX,0.955344819761613,118
11654,RP11-434H6.7,0.955324403869795,119
10062,RP11-936I5.1,0.9551549915160698,120
14409,TOP2B,0.9550649016807594,121
8793,MAPKAPK5,0.9549959625896519,122
13974,MLH1,0.9548075777061994,123
13435,PNRC2,0.9544876476106127,124
14399,DKK3,0.9543880892245598,125
5785,DNAH10OS,0.9543218418192576,126
