,gene_name,centrality,rank
13820,XPO1,1.0,1
13188,TP53,0.9601702848770318,2
14045,APP,0.9510182535007168,3
13746,HNRNPA1,0.9475099406482764,4
14632,MYC,0.945411463050585,5
14689,PSMA2,0.9446344852392942,6
13481,FHL2,0.9399387698557456,7
11172,MAPK14,0.9385287965155121,8
11215,ASAH1,0.936510078183357,9
12973,HIF1A,0.9357546490020577,10
13772,PLCG1,0.9353242489382884,11
13005,NCL,0.9349217498373836,12
11668,LIF,0.933926348004248,13
13632,BRCA1,0.9325270060049553,14
8946,ZNF544,0.931529435865828,15
13773,ARRB2,0.931391485859889,16
13808,MOV10,0.93083331389954,17
13265,NFE2L2,0.9306626699958739,18
14745,PABPC1,0.9300366255794988,19
11462,MIS12,0.9293620636218857,20
4650,CDA,0.9293032879488614,21
219,RP11-175P13.2,0.9284366038936739,22
11809,AC006042.6,0.9274437174701645,23
14295,TLN1,0.9274068469234849,24
13037,BMI1,0.9268871041305693,25
13614,RUVBL2,0.9265757636131264,26
11685,RNF139-AS1,0.926545509672675,27
11664,TNFRSF10D,0.9265086364252026,28
11294,CCNH,0.9264184142138322,29
4046,CCNE2,0.9263968104831595,30
12447,PPM1H,0.925574075852506,31
11496,RENBP,0.925378810832494,32
13566,CENPE,0.924496220936603,33
13068,CREBBP,0.9242433555957859,34
10234,TRIM67,0.9238462010957091,35
14244,PSEN1,0.9234868268848403,36
14416,DGCR8,0.9231001779722335,37
10468,RFX1,0.9228169466719022,38
11082,SFPQ,0.9226390994870829,39
6498,PLA2G7,0.9225849726835121,40
13547,TRAF6,0.9220101663457448,41
11186,EID2,0.9218329222696457,42
13596,EHD1,0.9215900640275215,43
12533,SLC16A10,0.9213611091690991,44
13815,RNF2,0.9212066568332796,45
9132,GHDC,0.9207373935055372,46
13008,CUL3,0.9205177636087292,47
8058,VIM,0.9203997085791898,48
14629,UBE2N,0.9202026541734032,49
14275,OXA1L,0.9200946859678535,50
9,PNLIP,0.9198027648630491,51
13032,PSMC3,0.9197480043354604,52
13030,MAPK1,0.9197179718351788,53
13317,IP6K1,0.9195612274396472,54
8261,ERBB3,0.9194906899708886,55
12470,CREG1,0.9194114861733161,56
7282,RP11-225B17.2,0.9191795827616217,57
14466,RAB2A,0.9187538329383709,58
