,gene_name,centrality,rank
12757,HSP90AA1,1.0,1
12343,PHB2,0.988076668712888,2
12654,XPO1,0.9862849841856721,3
14393,APP,0.9847617563890986,4
12635,TP53,0.9788231543093383,5
12916,HSP90AB1,0.9753681856395635,6
12391,MCM2,0.9717056228480595,7
13844,HNRNPA1,0.9698391103323024,8
14385,MOV10,0.9679284151226187,9
12998,HDAC2,0.9575513842865733,10
8599,BRCA1,0.9573929960599655,11
14273,RAB7A,0.9569067758511132,12
14282,DVL2,0.952961587968206,13
13954,CREBBP,0.9523909695619635,14
12743,BAG3,0.9512184294659597,15
13056,RELA,0.9486698685991619,16
11610,HPS1,0.9482833030247806,17
12990,PPP3CA,0.9481761868607067,18
12412,HSPA8,0.9481733666122283,19
12856,STAT5B,0.94524707902683,20
13644,OBSL1,0.9451030506554767,21
13519,EP300,0.9450785533347525,22
13906,DDX5,0.9431817468781091,23
11903,ID3,0.9409446190105571,24
13238,DMAP1,0.940554924221088,25
9554,CDK2,0.9379780286299547,26
13413,VCP,0.9377276042733385,27
9861,TMEM200B,0.9367038119215394,28
14242,SMAD2,0.9366903563804313,29
13905,RLIM,0.9348793924538337,30
12516,USP1,0.9340748027460778,31
8661,TMEM178A,0.9337793314793363,32
12873,HSPB1,0.9337438365513464,33
13895,HSPA5,0.9334879567549048,34
12256,CHKA,0.9333842779497002,35
14034,WBP4,0.9331592978787137,36
13794,ZNF24,0.9315912632359666,37
11150,MC1R,0.9315446463815218,38
12866,RNF2,0.9312719413142575,39
601,RAX2,0.9312302131107412,40
13662,GRB2,0.9312017709738896,41
6468,MDM2,0.9310116868368035,42
13834,CSNK2A1,0.9308910058840948,43
13431,ING4,0.9303567470251528,44
13996,CD81,0.9293681446605622,45
13286,FN1,0.9282222616946947,46
14391,NPM1,0.9279373820980984,47
628,KLK11,0.9276890573178529,48
13377,A2M,0.9260676298360565,49
13690,UBE2E3,0.9257955824925875,50
13438,HDAC1,0.925606135288205,51
12302,CHAMP1,0.9253904825035355,52
10085,RP11-320G24.1,0.9251055052273973,53
6516,CYP2E1,0.9248260882656255,54
13710,DBN1,0.9246218391725399,55
14015,TNFRSF1A,0.924191279500882,56
14320,HCFC1,0.924018523209601,57
11764,WDR78,0.9232063747472824,58
12426,GDAP1,0.9224535671444185,59
12832,RBMX,0.9223288963792016,60
