,gene_name,centrality,rank
12654,XPO1,1.0,1
14393,APP,0.96744221594831,2
11352,CDK11B,0.9602293440144665,3
14131,STAT3,0.9585957041740581,4
14373,SLC39A14,0.9490546820893698,5
14391,NPM1,0.9484689780554916,6
12916,HSP90AB1,0.9480388312992649,7
12743,BAG3,0.9476102129620606,8
13186,PPP2CB,0.9458404766096675,9
12635,TP53,0.9454905034946812,10
13979,GSTA4,0.9432574691085088,11
13466,PRKACA,0.9426490507908883,12
13682,SMC1A,0.9423633042434291,13
13964,EIF3B,0.9415528165371543,14
13954,CREBBP,0.941252069779756,15
13983,KPNB1,0.9410759375922029,16
9915,PLS1,0.9406075602839493,17
9554,CDK2,0.9404666213739236,18
12666,PGR,0.9401313905167001,19
14167,DOCK2,0.9395425522077392,20
11291,BIN2,0.9394246188488994,21
12079,MYC,0.9380640845368476,22
8711,ALCAM,0.9367360083561675,23
12995,HSPA4,0.9358645690453282,24
10573,MYO1G,0.9347558902848029,25
13814,SART1,0.9335672995196675,26
10342,KRT18,0.933242061188268,27
13388,DHX38,0.9328993938630026,28
10672,PET100,0.9320045506313951,29
7186,CCDC18-AS1,0.9307475535661217,30
8303,AK9,0.9300120348827615,31
13438,HDAC1,0.9296389954597846,32
11312,CD300A,0.9283751998702331,33
13844,HNRNPA1,0.9279755102439912,34
1783,CTB-133G6.1,0.927640125529531,35
8686,ZDHHC2,0.9272637828472207,36
13518,TNFRSF12A,0.9268613828409246,37
13587,NCOR1,0.9266656447591664,38
8191,RHOH,0.9263512077002649,39
10726,GS1-124K5.2,0.9262768482026389,40
10892,C4A,0.9259303379523589,41
13210,TRRAP,0.9256866151475235,42
12440,PPM1D,0.9256599226850003,43
14202,PNP,0.9251810432702661,44
12036,EWSR1,0.9250508759510568,45
13998,FGFR1,0.9246947207425515,46
10905,TMC8,0.9244128803115998,47
12958,RARA,0.9241991060165444,48
10242,FGF11,0.923688267048895,49
13278,HSF4,0.9232522958091817,50
13028,PIGU,0.9229575400583512,51
14224,SLC30A5,0.9226473071330988,52
12921,THRAP3,0.9223448547186155,53
11672,LAIR1,0.9221637847284091,54
13270,DHX9,0.9215268848177699,55
10961,JAML,0.9210722145925294,56
12476,AGER,0.920727482306844,57
9126,CAPN2,0.9205342458864932,58
