,gene_name,centrality,rank
14516,TP53,1.0,1
13833,HDAC6,0.9686988249174264,2
7173,HDAC1,0.9661686808759049,3
13996,HDAC3,0.9638173330194644,4
14157,SMAD3,0.9622240326470793,5
12231,SH2B3,0.9603125044767463,6
14405,HSD17B4,0.9594097561658594,7
14493,APP,0.957922544378475,8
11886,ELAVL1,0.9565765877496439,9
13492,TFEB,0.9540453217084711,10
12913,CHUK,0.9537613765503663,11
14805,UBE2D3,0.9532265893485093,12
14051,EP300,0.9516076868086751,13
14745,EGFR,0.950989051857386,14
5115,FSD2,0.9499291296005862,15
14258,ARID1A,0.9486631795725808,16
10869,SRC,0.948371613380689,17
12484,KCNIP2,0.9477983976369939,18
4842,OXT,0.9476168517075049,19
12071,NCOR2,0.9467849764170959,20
12241,AHR,0.9466412335132101,21
14627,ENOPH1,0.9462495023791442,22
2680,RPL4P4,0.9460593408796698,23
13401,BRPF1,0.9453454696874298,24
14376,PSME3,0.9448916504419388,25
5382,FKBP1B,0.9441066922984092,26
10562,ESRP1,0.9432804267445724,27
12893,OBSL1,0.9430730340545035,28
10183,PLCD4,0.943043024157141,29
14304,IRAK1,0.942646334547165,30
13674,AAMP,0.9422672932318452,31
13858,LDB2,0.9422536774430701,32
12873,RUVBL1,0.941932150072299,33
14303,COPS5,0.9419225733664274,34
12993,STK11,0.9415588156036838,35
14821,LDB1,0.9413789394529606,36
13692,NCL,0.9398908488308413,37
11456,PPM1H,0.939820643154657,38
8192,FAM153B,0.9397903046607594,39
12706,C17orf107,0.9397680426159017,40
11821,KDM4B,0.9396930871988585,41
14296,CDK4,0.9393344112315675,42
12084,ARRB1,0.9393140961325023,43
10657,RP11-1277A3.2,0.9390701744849063,44
13938,SAMHD1,0.9389196076346888,45
13917,SMAD4,0.9383445172367467,46
14814,RNF2,0.9382572941132952,47
896,RP1-309F20.3,0.9381170410843749,48
7929,MTUS2,0.9377086028057271,49
14032,ING4,0.9375565820384508,50
13555,HSPA5,0.9375512838794489,51
8319,TP53RK,0.9374277322689782,52
10923,NHS,0.9373460996768371,53
10492,CFAP58-AS1,0.9372287357571975,54
9830,GSE1,0.9370466950141803,55
13965,UBE2L3,0.9370299918190185,56
12877,INPP5K,0.9365780294714984,57
14398,AKT1,0.9360636282330753,58
6441,MFSD12,0.9355709093347706,59
8808,RP3-395M20.8,0.9355602992625779,60
1402,LINC01588,0.9354188343040826,61
5668,UNC13B,0.9350811021701383,62
10444,RP11-889L3.1,0.9347223650754146,63
11049,PPP1R9A,0.9344988260948391,64
12452,ARHGAP11A,0.9343981731596586,65
13901,VIM,0.9341988792680638,66
5299,PTPRD-AS1,0.9340119701394798,67
8318,ANK1,0.9339947092821228,68
5940,UBE2A,0.9338424209239694,69
7452,MISP,0.9337171152764742,70
13268,CHD8,0.9334944177802503,71
6186,SLC24A3,0.9329610746647098,72
7068,PIP5K1A,0.9329055419862975,73
336,LBX2,0.9329007137385101,74
605,FUT3,0.9328408923012389,75
9228,IPO13,0.9327460128672415,76
10085,ZNF382,0.9327192611124342,77
12119,TRAPPC2B,0.9326202815580372,78
13861,MDM2,0.932584954236876,79
