,gene_name,centrality,rank
5888,INHBE,1.0,1
14516,TP53,0.9962923713794538,2
14745,EGFR,0.9892368698182633,3
14493,APP,0.9847900475148093,4
12939,XPO1,0.9800342448781044,5
2366,CYP3A43,0.9652830283398242,6
8585,STK17B,0.9526772432215524,7
13430,PRDX1,0.9491067254714407,8
14413,RPS3,0.947405732415608,9
14185,HSP90AA1,0.9458807849900983,10
14356,CUL3,0.9445297653279299,11
12774,TTC17,0.9432289675240987,12
9613,FGD6,0.9424817000215044,13
14610,STRBP,0.9417729531996127,14
13261,DMD,0.9409491152165206,15
7392,PTGES3P1,0.940056972701588,16
10977,CSPG4,0.9395176002928795,17
9587,ROCK2,0.9392554172956543,18
14659,HNRNPA1,0.9387655707496212,19
13861,MDM2,0.9374450531804179,20
14241,FLNA,0.9371160095533123,21
8761,CASQ2,0.9370906925356094,22
13112,SOAT1,0.9359040343270849,23
14586,YWHAG,0.9358893991176128,24
8264,FERMT2,0.9357366107196915,25
5050,MGAM,0.9349696023234428,26
6437,PLEC,0.934967995127723,27
13624,RAD23A,0.9343184776584865,28
7396,RP11-161M6.2,0.9339385155560869,29
5116,RP11-535M15.2,0.93339751800781,30
11330,GMPR,0.9333642860715002,31
2614,IGKV1-27,0.9328093831435524,32
11021,KCNAB1,0.9322703388931678,33
14136,CDK2,0.9309920311686589,34
13320,VCP,0.9305077504036472,35
13922,GRB2,0.9297637211422887,36
14120,TRAF5,0.9287735484654311,37
14803,CUL1,0.9287552621586163,38
14823,NR1H2,0.928271497035371,39
14403,UBE2N,0.927913848493483,40
11630,POC5,0.9275294571682083,41
7863,WNT10B,0.9275292716850944,42
14548,FN1,0.9272026084853847,43
2460,CTC-550B14.7,0.9270010166518118,44
3403,TEN1,0.926922831790926,45
10960,RASL12,0.9268040054390362,46
11603,RNF31,0.9265053630375526,47
13795,SKP1,0.9263071142497523,48
11697,TAF11,0.9260899269602055,49
11060,DISP1,0.9255777873347362,50
2996,RP11-677I18.3,0.9250832137091788,51
11076,CD34,0.9247544848174469,52
9972,DIO3,0.9243848126243739,53
13857,PRKACA,0.9241302372712565,54
10344,LMTK3,0.9241249241841013,55
12714,BTRC,0.9231587789158929,56
14641,HSP90AB1,0.9231044553243465,57
13680,TLR9,0.9227054867534185,58
9728,HSPG2,0.9224898091409197,59
2431,LAD1,0.9220244060429975,60
14373,AHSA1,0.9219767277465158,61
11975,CD164,0.9219339665842646,62
12184,ADCY4,0.921867632343854,63
6362,SNX30,0.9215875591761198,64
3783,KRT10,0.9214099188269179,65
3455,CLRN3,0.9212174127506487,66
14239,SLC27A2,0.9211205632447419,67
2581,KCNJ15,0.9210730869033092,68
12044,CD40,0.9208720571349668,69
14026,SCAP,0.9208516879074229,70
724,HOXB5,0.9207089964631149,71
13408,LIN7A,0.9206069560354412,72
12279,TMEM71,0.9204426940145108,73
14819,BAG3,0.9198145435913835,74
10145,FLNC,0.9196675773162564,75
10321,MAPK8IP2,0.9196119069847424,76
13300,CPSF6,0.9192887870439669,77
13354,RPS19,0.9191737685737214,78
12665,FOPNL,0.919040793075251,79
12035,FTL,0.9190161239014466,80
14813,HSPA8,0.9186869609208907,81
12839,HDAC5,0.9185923405321271,82
8500,WNT3,0.918587354092923,83
13964,PKD1,0.9183166195310659,84
14820,PPP5C,0.9180501495861555,85
4078,CSPG5,0.9177609395348062,86
12594,NCK2,0.9177234445684276,87
10976,NEAT1,0.917721775229323,88
14147,HDAC2,0.9177079382348791,89
7408,IKBKG,0.9172975399196533,90
5895,RASL10B,0.9171868534053014,91
12978,FOSL2,0.9171445111111276,92
14606,PSMA1,0.9170155868993857,93
13412,HSPA4,0.9168871590875353,94
14506,TAX1BP3,0.9168584016644855,95
5081,KYAT3,0.9164684299774405,96
6937,MTHFD2L,0.916452000611418,97
11897,SVIL,0.9162663611867317,98
2715,SERPINA12,0.9161410966181924,99
1967,TMED6,0.9160656366486645,100
14765,CANT1,0.9158502128719918,101
13108,BMP2K,0.9156847196733641,102
13760,NRP1,0.9156703944639875,103
8566,SLC33A1,0.9156166464750428,104
10804,JAG2,0.9156158781134203,105
11746,MBNL1,0.9155742647258935,106
13890,MYC,0.9155438777142907,107
6594,MED19,0.9152882183865119,108
4471,PDE4C,0.9151155754555795,109
13921,DIS3,0.9150605131326608,110
11442,ADAMTSL5,0.9149493109306418,111
12508,CACNA1C,0.9146958853744049,112
7708,RP11-848P1.3,0.9145879372063834,113
2344,ACOT12,0.9144509199445072,114
13521,ACTN4,0.9144319126069387,115
8152,RP11-452H21.4,0.9143536627241117,116
13043,GTF2H3,0.9142276496288041,117
12833,NSUN3,0.9141265690636895,118
12875,UHMK1,0.9140688929741742,119
10338,TUBB4A,0.9138981206822657,120
13056,MAPK14,0.9138609390735277,121
14093,RPA1,0.9137708643038976,122
3563,SRPX2,0.9136731657332267,123
14255,LAMB2,0.9135463511698866,124
13841,PARP1,0.9134184666468216,125
14764,IRAK2,0.9133591237357901,126
5857,ZNF792,0.913339577605403,127
14040,KPNA4,0.9132395449232359,128
13459,CHMP5,0.9132314334990198,129
909,CTB-52I2.4,0.9131939393885699,130
14303,COPS5,0.9127066692463139,131
7104,VNN2,0.912702534924849,132
14425,PIN1,0.9122847357567448,133
8202,TMIGD3,0.9121040309351295,134
7333,ZNF516,0.912040579142107,135
14592,USP5,0.9119829224911548,136
13905,MIB2,0.9118755871573915,137
14039,ATL3,0.9114454812266874,138
10704,SSTR2,0.9113546415420862,139
14180,RPS15A,0.9113223386112304,140
14763,SAP130,0.9112282658414179,141
14365,PPP1R15B,0.9111717897061784,142
775,ZNF528-AS1,0.9111354378598439,143
7112,AMER1,0.9107482734700885,144
8878,PLPP6,0.9106060580867236,145
10189,SLC7A4,0.9101050903658162,146
13062,AGPAT2,0.9100858463906935,147
14727,DNAJB6,0.9100459744469788,148
14174,ID4,0.9099954991345284,149
8247,RP11-288H12.3,0.9098813410611227,150
13045,BID,0.9098794529621916,151
11675,ANKRD6,0.9098652229768847,152
14462,WDR5,0.9097878967039406,153
7201,MIR210HG,0.9096860938250637,154
4306,PRKAG3,0.90965696222056,155
2717,HIST1H4I,0.9096551785706063,156
13496,EIF6,0.9096270242817126,157
13967,BAG6,0.9095991387205168,158
6294,FOS,0.9095627429148075,159
4321,FAM132A,0.9093935762628744,160
7332,RP11-465B22.3,0.9092972628143645,161
11533,ULK2,0.9092536845419971,162
11617,CRIP1,0.9090841460196358,163
5754,NMRK1,0.9090633729339451,164
7569,IRF6,0.9089319316963844,165
14722,RABGAP1L,0.9089229468308987,166
2151,IGLV8-61,0.9088493995594327,167
14383,CIRBP,0.9087500303448368,168
4191,ERBB3,0.9087241284441508,169
9503,MYH11,0.9086712338169454,170
5291,EPS8L1,0.9086148604332345,171
5760,KLF10,0.9085835000797925,172
462,RPL13P12,0.9085542140882352,173
13840,RHOQ,0.9084958353136919,174
13956,SEC31A,0.9083706902699782,175
5793,CHRDL2,0.9081323185184124,176
5156,DUSP1,0.9079622510064964,177
6565,IKBKE,0.9078736382653051,178
10618,GAL,0.9077603141925514,179
13489,ADAMTS1,0.9077243955167582,180
4656,SIGLEC11,0.9076583439762979,181
12324,SEPT8,0.9075181280140739,182
14814,RNF2,0.9075177433936922,183
10826,SAMD11,0.9074963223663729,184
11053,NQO1,0.9073626397451144,185
4210,RP11-108M9.3,0.9072836080576715,186
2109,DAB1,0.9072336221248095,187
8242,DNMBP,0.9071657037910416,188
5046,RP1-78B3.1,0.9071036113070935,189
3220,RP11-680F8.1,0.9070809026742837,190
12560,ADAMTSL4,0.9068241179857993,191
1929,RP11-133N21.10,0.9066761660029589,192
6334,SSUH2,0.906642828670342,193
12690,PRODH,0.906580542733331,194
14409,UCHL5,0.9065699261179812,195
13595,RACK1,0.9065141640445687,196
11667,FRAS1,0.9065125004388687,197
1775,ALDH3A1,0.9064214222415523,198
12015,MIER3,0.9063910246016184,199
10834,TREM1,0.9063307051996446,200
8551,DOK4,0.9063016104955405,201
14694,STAT3,0.9062668981303066,202
3128,IGHV3-72,0.9062290477341522,203
13414,YKT6,0.9061750865991791,204
14649,RAD23B,0.9061421394098133,205
13171,STX12,0.9059074958511156,206
9853,SPECC1,0.9057982843791313,207
13137,RPS14,0.9057801498456609,208
13066,NXF1,0.9055987454073791,209
11333,ALMS1-IT1,0.905401924797245,210
7676,RNF113A,0.9053965023762576,211
10847,SLIT1,0.9052538568510535,212
3340,SYTL5,0.9051366526655653,213
10768,RAB3IP,0.9050761057954398,214
8310,RP11-21L23.2,0.9049388922974942,215
3726,VSNL1,0.9047804917102417,216
12694,HIRIP3,0.9045687607774854,217
10866,LINC01278,0.9042929263256784,218
14510,TERF1,0.9041311434434306,219
7720,ZNF274,0.9041136868739716,220
1741,RP11-296O14.2,0.9040959107437867,221
13730,SNRNP70,0.9040341348646284,222
3962,ADORA2BP1,0.9039877853215281,223
8876,ADGRD1,0.9039853454478746,224
13256,CENPJ,0.9039600300910171,225
12243,CDK1,0.9039271961699752,226
3901,JCHAIN,0.9038792117440303,227
6617,TOM1L2,0.9036439132308712,228
14151,RBBP4,0.9036180262159442,229
7222,ADGRG3,0.9035574283682002,230
365,ACTA1,0.9034769957525998,231
11561,NHEJ1,0.9033834135605094,232
6602,MYH7,0.9032833689671412,233
14675,ACTR3,0.9032041430102358,234
13447,HSPA1A,0.9032027673152859,235
8187,TM9SF4,0.9031609871076846,236
14309,WWP2,0.9031438780914094,237
10868,ANKRD65,0.9030779900687776,238
4379,ALG1L13P,0.9030110626457546,239
13179,SOD2,0.90279480689407,240
9929,RNF4,0.9027678814142256,241
13578,PRKAA1,0.9026633604889889,242
10764,FBXO6,0.9026006122775679,243
13469,PPP1CB,0.9025155079346534,244
5087,MRPL41,0.902415437568459,245
13619,TRAF2,0.9023125414253698,246
13393,JAK3,0.9021715331194777,247
1557,HIST1H3D,0.9021699050630846,248
4590,ACTN2,0.9021689702620476,249
13377,OTUB1,0.9020694974596022,250
12625,EFNB3,0.9020447798260957,251
14208,SMARCA4,0.9019461185108664,252
2774,BTG1P1,0.9019258653162143,253
12569,HHIPL1,0.9018725677952055,254
13138,HSPA1B,0.9018024984606204,255
14253,VAMP7,0.9017428178778418,256
12375,ZSWIM4,0.9017110927070573,257
7287,HIST1H2BN,0.9016570063529992,258
12930,RALBP1,0.9016195245471569,259
6454,KCNIP3,0.9016104943214226,260
14063,DAPK3,0.901537791293501,261
3044,RP11-415F23.2,0.90141294621838,262
14791,TAF6,0.9013914210671502,263
13837,RALGDS,0.9013675221075325,264
13740,CAND1,0.9012103711514762,265
6599,RP11-82L18.2,0.9011870581540535,266
10530,KCNA5,0.901127432658063,267
13703,AMFR,0.9010629608033845,268
4050,C5orf34,0.9010437704666,269
13182,SH2B1,0.9010301254326804,270
2371,RP11-405O10.2,0.900905947937665,271
5943,AP000892.6,0.9008494612920033,272
14422,PPP1CC,0.9008255446446832,273
1335,RPS15AP24,0.9008235510058248,274
10278,CNTNAP3,0.900818189758445,275
7710,SLC6A12,0.90072260651816,276
14744,SMURF1,0.9006933740598958,277
1745,TBC1D3B,0.9006751587156584,278
12365,LMOD1,0.9005886053011778,279
12110,SATB1,0.9005801625558922,280
7055,CLN6,0.900561982223241,281
3023,CRY1,0.9005095777167291,282
14326,QSOX1,0.9003407043146243,283
3509,TAF4,0.9003311017759743,284
11556,STUM,0.9003135725998221,285
13490,INTS10,0.9002529676576564,286
4562,MMP17,0.9001920230924529,287
4440,RP11-44N11.2,0.9001381476926377,288
10302,C1GALT1P1,0.9001330411373362,289
2746,YBX1P1,0.9001225358708299,290
14603,LMTK2,0.9001187198623953,291
6128,PUM1,0.9000048963342374,292
13833,HDAC6,0.8999836850241113,293
10288,SPEG,0.8999220782667038,294
7548,AQP9,0.8999103890708225,295
12933,JAG1,0.899653916779575,296
13460,ARHGAP31,0.8996153997750953,297
6064,PITPNM2,0.8995252950608877,298
6578,MLXIP,0.8994648291761669,299
9345,BTN3A3,0.899436891749215,300
10712,B4GALNT4,0.8994045484709041,301
10290,CEL,0.8993671327994914,302
2309,POU5F1,0.8992043037598111,303
14245,UBE2G2,0.8990296233200857,304
11799,TRAF6,0.8989910417572666,305
13159,MYH9,0.898990052733138,306
6104,ANKMY2,0.8989026090589256,307
1367,CLDN1,0.8988986394108095,308
13458,ACTN1,0.8988690593314114,309
5763,RP11-475C16.1,0.8988458745049273,310
1145,DHRS9,0.8988038128272127,311
10693,PKP3,0.8988028789698344,312
11632,ULK1,0.8987482676484806,313
13959,CAPRIN2,0.8987309881390897,314
6651,RP11-358D17.2,0.8986669837585273,315
10710,PODXL,0.8986259724745654,316
14023,TPT1,0.8986099098028998,317
6910,NUP35,0.8985777502350754,318
10602,ARID3B,0.8984661911040975,319
5975,HIST1H2BD,0.8984524360909966,320
6550,NPW,0.8984504987445155,321
9347,KLF11,0.8982876331764017,322
4970,LDLRAD2,0.8982649369499915,323
1830,BNIP3P1,0.8981493679308912,324
7621,IGF1,0.8981131428304083,325
13003,KMT2D,0.8981036549203192,326
14122,JUN,0.8980251645177144,327
12705,NPTX2,0.8978747938110325,328
9042,ANK3,0.8978705725249269,329
5109,PIWIL4,0.8978518620496758,330
5199,TNNC1,0.897829568023832,331
10453,THRA,0.8978006335145147,332
10892,KIAA0232,0.8977243336325264,333
9480,ATXN2,0.8977208435140985,334
1229,UBA52P8,0.8976730267659176,335
11753,NEDD4,0.8976677344752987,336
11841,CASP8,0.8976284007379783,337
12482,PCBP3,0.897559489312628,338
12157,HLCS,0.8975347019921228,339
13301,RALA,0.8974904393120944,340
8114,CASP3,0.8974578989746831,341
5933,MYLK2,0.8974148839038675,342
8848,WDR83,0.8973478752647747,343
12897,UFL1,0.8973416905853805,344
11918,BLMH,0.8973017103562684,345
13751,UBE2R2,0.8972700128843932,346
11085,TSPEAR,0.8972661422667135,347
